total_built,cumulative_gw,gini_coefficient,community_surplus_m,firm_cost_m,total_rejected,infeasible_rate
27,8.099999999999998,0.992611387156265,230131.52999999994,0.0,399,0.0
29,8.7,0.9935146603672473,247178.31,0.0,383,0.0
31,9.3,0.9929099782081581,264225.09,0.0,390,0.0
33,9.900000000000002,0.991263731511115,281271.8700000001,0.0,399,0.0
30,9.0,0.9927476477428903,255701.7,0.0,398,0.0
28,8.399999999999999,0.9928186307824747,238654.91999999995,0.0,389,0.0
22,6.599999999999998,0.9936280021912753,187514.57999999993,0.0,386,0.0
30,9.0,0.9916693096521831,255701.7,0.0,382,0.0
34,10.200000000000003,0.9924441708177085,289795.26000000007,0.0,391,0.0
30,9.0,0.9921979067554709,255701.7,0.0,376,0.0
27,8.099999999999998,0.9926348803608556,230131.52999999994,0.0,394,0.0
30,9.0,0.9935299714557564,255701.7,0.0,390,0.0
26,7.799999999999997,0.9923638049232721,221608.13999999993,0.0,390,0.0
39,11.700000000000006,0.990932526612831,332412.2100000002,0.0,378,0.0
40,12.000000000000007,0.9885188709165873,340935.6000000002,0.0,392,0.0
22,6.599999999999998,0.9936280021912753,187514.57999999993,0.0,406,0.0
30,9.0,0.9926842160904958,255701.7,0.0,403,0.0
32,9.600000000000001,0.9925269584522676,272748.48000000004,0.0,392,0.0
31,9.3,0.9923779708009781,264225.09,0.0,387,0.0
33,9.900000000000002,0.9917634960451325,281271.8700000001,0.0,409,0.0
30,9.0,0.9916693096521831,255701.7,0.0,392,0.0
29,8.7,0.9925522490895371,247178.31,0.0,371,0.0
21,6.299999999999998,0.9944874873514264,178991.18999999997,0.0,403,0.0
34,10.200000000000003,0.9914553832950876,289795.26000000007,0.0,389,0.0
34,10.200000000000003,0.9914553832950876,289795.26000000007,0.0,389,0.0
32,9.600000000000001,0.9920710434506819,272748.48000000004,0.0,403,0.0
37,11.100000000000005,0.9905281113654092,315365.43000000017,0.0,379,0.0
27,8.099999999999998,0.9941619386592428,230131.52999999994,0.0,386,0.0
33,9.900000000000002,0.991263731511115,281271.8700000001,0.0,387,0.0
29,8.7,0.9925085031223684,247178.31,0.0,413,0.0
37,11.100000000000005,0.9894652025955546,315365.43000000017,0.0,382,0.0
32,9.600000000000001,0.9926062480177609,272748.48000000004,0.0,383,0.0
37,11.100000000000005,0.9910081346808273,315365.43000000017,0.0,386,0.0
22,6.599999999999998,0.9946659746850042,187514.57999999993,0.0,397,0.0
31,9.3,0.9924393562710372,264225.09,0.0,394,0.0
26,7.799999999999997,0.99292493107907,221608.13999999993,0.0,404,0.0
23,6.899999999999998,0.9938912560846123,196037.96999999994,0.0,393,0.0
28,8.399999999999999,0.9928186307824747,238654.91999999995,0.0,385,0.0
20,5.999999999999998,0.9947986045036472,170467.79999999993,0.0,399,0.0
33,9.900000000000002,0.9928014685388615,281271.8700000001,0.0,393,0.0
27,8.099999999999998,0.9920475502460913,230131.52999999994,0.0,382,0.0
33,9.900000000000002,0.991263731511115,281271.8700000001,0.0,404,0.0
30,9.0,0.9932762448461783,255701.7,0.0,376,0.0
33,9.900000000000002,0.9918211611836731,281271.8700000001,0.0,389,0.0
33,9.900000000000002,0.9918211611836731,281271.8700000001,0.0,377,0.0
27,8.099999999999998,0.9920475502460913,230131.52999999994,0.0,402,0.0
35,10.500000000000004,0.9900956005618231,298318.65000000014,0.0,392,0.0
26,7.799999999999997,0.99292493107907,221608.13999999993,0.0,404,0.0
28,8.399999999999999,0.9928186307824747,238654.91999999995,0.0,389,0.0
35,10.500000000000004,0.9930315799012279,298318.65000000014,0.0,380,0.0
24,7.1999999999999975,0.9929960883814357,204561.35999999996,0.0,386,0.0
32,9.600000000000001,0.9926062480177609,272748.48000000004,0.0,381,0.0
37,11.100000000000005,0.9914538706165728,315365.43000000017,0.0,393,0.0
40,12.000000000000007,0.9891056137012368,340935.6000000002,0.0,388,0.0
18,5.399999999999999,0.9958769425943546,153421.01999999996,0.0,386,0.0
30,9.0,0.9932551009620467,255701.7,0.0,395,0.0
26,7.799999999999997,0.99292493107907,221608.13999999993,0.0,400,0.0
31,9.3,0.9929099782081581,264225.09,0.0,392,0.0
33,9.900000000000002,0.991263731511115,281271.8700000001,0.0,384,0.0
35,10.500000000000004,0.992451633365049,298318.65000000014,0.0,370,0.0
25,7.499999999999997,0.994278464954012,213084.74999999997,0.0,413,0.0
27,8.099999999999998,0.9941149522500616,230131.52999999994,0.0,401,0.0
29,8.7,0.9919835515163447,247178.31,0.0,376,0.0
28,8.399999999999999,0.9917312310271396,238654.91999999995,0.0,390,0.0
29,8.7,0.9929897087612236,247178.31,0.0,389,0.0
31,9.3,0.991354879633324,264225.09,0.0,382,0.0
33,9.900000000000002,0.9907255235514036,281271.8700000001,0.0,378,0.0
36,10.800000000000004,0.9903266730098319,306842.04000000015,0.0,385,0.0
31,9.3,0.9923779708009781,264225.09,0.0,402,0.0
23,6.899999999999998,0.9949392572980873,196037.96999999994,0.0,389,0.0
24,7.1999999999999975,0.9940532825880113,204561.35999999996,0.0,383,0.0
27,8.099999999999998,0.9931282376572577,230131.52999999994,0.0,381,0.0
32,9.600000000000001,0.9920710434506819,272748.48000000004,0.0,378,0.0
22,6.599999999999998,0.9930225182365999,187514.57999999993,0.0,399,0.0
28,8.399999999999999,0.9942231887997826,238654.91999999995,0.0,379,0.0
33,9.900000000000002,0.991263731511115,281271.8700000001,0.0,383,0.0
35,10.500000000000004,0.9900956005618231,298318.65000000014,0.0,398,0.0
32,9.600000000000001,0.9910402790992705,272748.48000000004,0.0,389,0.0
33,9.900000000000002,0.991263731511115,281271.8700000001,0.0,383,0.0
22,6.599999999999998,0.9941758210074099,187514.57999999993,0.0,388,0.0
30,9.0,0.9935299714557564,255701.7,0.0,393,0.0
38,11.400000000000006,0.990802410402791,323888.8200000002,0.0,395,0.0
31,9.3,0.991354879633324,264225.09,0.0,382,0.0
31,9.3,0.9923779708009781,264225.09,0.0,393,0.0
30,9.0,0.9926842160904958,255701.7,0.0,370,0.0
29,8.7,0.9919835515163447,247178.31,0.0,388,0.0
33,9.900000000000002,0.9917634960451325,281271.8700000001,0.0,391,0.0
35,10.500000000000004,0.9900956005618231,298318.65000000014,0.0,382,0.0
27,8.099999999999998,0.9952896124795902,230131.52999999994,0.0,409,0.0
32,9.600000000000001,0.9915754836663495,272748.48000000004,0.0,391,0.0
