month,year,calendar_month,mean_total_built,p2_5_total_built,p97_5_total_built,mean_cumulative_gw,p2_5_cumulative_gw,p97_5_cumulative_gw,mean_gini,mean_firm_cost_m
1,2026,1,0.19,0.0,1.0,0.057,0.0,0.3,0.1799397399302252,0.0
2,2026,2,0.4,0.0,2.0,0.12,0.0,0.6,0.30987313669521094,0.0
3,2026,3,0.62,0.0,2.0,0.18600000000000003,0.0,0.6,0.4598033618775769,0.0
4,2026,4,0.9,0.0,3.0,0.27,0.0,0.8999999999999999,0.6097145575642245,0.0
5,2026,5,1.18,0.0,3.0,0.354,0.0,0.8999999999999999,0.709625753250872,0.0
6,2026,6,1.42,0.0,4.0,0.42599999999999993,0.0,1.2,0.7595496352679986,0.0
7,2026,7,1.7,0.0,4.0,0.5099999999999999,0.0,1.2,0.8094608309546463,0.0
8,2026,8,1.98,0.0,4.0,0.5939999999999999,0.0,1.2,0.869372026641294,0.0
9,2026,9,2.15,0.0,4.5249999999999915,0.6449999999999999,0.0,1.3574999999999975,0.8793181097367586,0.0
10,2026,10,2.42,0.0,5.0,0.7259999999999998,0.0,1.5,0.909232477006026,0.0
11,2026,11,2.64,0.0,5.5249999999999915,0.7919999999999997,0.0,1.6574999999999975,0.9291627021883919,0.0
12,2026,12,2.83,0.0,6.0,0.8489999999999998,0.0,1.8,0.9491078791173938,0.0
13,2027,1,3.15,0.0,6.0,0.9449999999999998,0.0,1.8,0.9590107305211966,0.0
14,2027,2,3.45,0.4750000000000001,6.0,1.035,0.14250000000000002,1.8,0.968916111639708,0.0
15,2027,3,3.71,1.0,7.0,1.1129999999999998,0.3,2.1,0.9888336504915952,0.0
16,2027,4,4.0,1.0,7.5249999999999915,1.2,0.3,2.2574999999999976,0.9887467491278146,0.0
17,2027,5,4.26,1.0,8.0,1.2779999999999996,0.3,2.4,0.9986746484829263,0.0
18,2027,6,4.53,1.0,8.0,1.359,0.3,2.4,0.9985920212042951,0.0
19,2027,7,4.75,1.0,8.0,1.425,0.3,2.4,0.998522246386661,0.0
