fips,dc_employment,dc_employment_growth
16031,9,0.2857
16037,0,
16039,0,
16041,3,0.0
16043,0,
16045,0,
16047,0,
16049,3,0.0
16051,7,0.75
16053,0,
16055,115,3.1071
16057,39,0.95
16059,6,
16065,21,6.0
16067,7,1.3333
16069,22,1.75
16071,12,1.4
16073,0,
16075,14,
16077,3,0.0
16079,6,1.0
16081,3,
16083,22,0.2941
16085,3,
16087,0,
17001,25,0.5625
17007,0,
17019,362,0.1753
17021,4,0.3333
17025,0,
17029,10,-0.6429
17031,11271,0.4622
17033,0,
17037,92,0.7358
17043,1951,0.1497
17049,33,0.1
17051,0,
17053,12,0.0
17055,42,2.5
17057,22,-0.1538
17063,0,
17065,17,0.8889
17071,0,
17073,4,0.3333
17077,4,
17081,0,
17085,0,
17089,152,1.4918
17091,23,1.0909
17093,3,
17095,0,
17097,328,0.5922
17099,0,
17101,0,
17105,0,
17111,47,2.6154
17113,154,2.08
17115,6,0.2
17117,0,
17119,225,8.0
17123,0,
17133,18,3.5
17137,0,
17139,0,
17141,13,
17143,21,-0.2222
17157,0,
17161,12,0.0909
17163,55,1.2917
17165,31,0.24
17167,170,-0.2308
17173,0,
17177,0,
17179,20,4.0
17185,0,
17197,174,0.9773
17199,3,0.0
17201,96,0.0
17203,0,
18001,19,2.8
18003,101,0.8704
18005,43,
18011,69,10.5
18017,6,-0.25
18019,36,0.0
18029,4,
18033,0,
18035,25,1.5
18039,24,2.4286
18043,13,
18049,0,
18053,0,
18057,455,0.7843
18059,13,0.625
18061,0,
18063,98,3.2609
18065,0,
18067,4,
18069,7,1.3333
18075,0,
18079,0,
18081,67,1.0303
18085,5,
18087,0,
18089,63,0.9688
18091,6,0.2
18095,36,0.8947
18097,1394,-0.2066
18099,0,
18103,0,
18105,40,9.0
18107,89,0.9778
18109,0,
18111,0,
18117,0,
18119,0,
18123,0,
18125,0,
18127,170,0.0494
18133,0,
18139,0,
18141,377,1.2848
18145,17,4.6667
18153,0,
18157,54,2.375
18161,0,
18163,77,2.3478
18165,0,
18167,10,
18169,5,
18173,0,
18175,0,
18177,0,
18181,0,
18183,25,0.1364
19007,0,
19009,0,
19011,5,
19013,78,0.9024
19015,168,-0.3891
19019,0,
19021,0,
19027,0,
19031,0,
19033,55,0.1224
19041,0,
19045,116,-0.4605
19047,0,
19049,710,4.0714
19055,0,
19057,0,
19059,0,
19061,31,-0.8714
19063,0,
19065,0,
19067,0,
19075,0,
19085,5,-0.375
19087,7,
19095,0,
19097,0,
19099,19,
19101,8,1.6667
19103,34,-0.3585
19105,0,
19111,0,
19113,565,-0.14
19115,0,
19121,0,
19125,4,0.3333
19127,11,1.75
19131,0,
19139,3,
19141,0,
19153,1163,0.434
19155,392,0.6824
19157,3,
19161,0,
19163,28,3.0
19165,78,-0.5094
19167,0,
19169,28,-0.7627
19171,0,
19179,0,
19181,9,-0.97
19185,0,
19189,0,
19191,0,
19193,25,0.3889
19195,0,
20001,0,
20005,5,
20009,0,
20015,15,4.0
20021,0,
20027,0,
20029,0,
20033,0,
20035,7,
20037,0,
20039,0,
20041,3,
20043,4,-0.3333
20045,135,1.5
20053,0,
20055,0,
20057,0,
20059,0,
20061,4,
20079,6,1.0
20087,0,
20091,1611,0.5141
20095,0,
20103,29,1.4167
20107,0,
20113,24,0.0435
20117,0,
20121,4,0.3333
20123,0,
20125,0,
20139,0,
20147,0,
20149,8,
20155,219,0.0631
20157,0,
20159,0,
20161,12,
20163,0,
20167,0,
20169,4,0.3333
20171,0,
20173,215,0.8696
20175,0,
20177,90,-0.7256
20185,0,
20187,0,
20191,0,
20195,0,
20197,3,0.0
20205,0,
20207,0,
20209,19,-0.8984
21003,0,
21005,0,
21009,15,
21015,171,-0.2905
21017,3,
21019,29,-0.7642
21021,0,
21023,0,
21027,0,
21029,6,1.0
21031,0,
21035,3,-0.4
21037,21,1.1
21043,0,
21045,0,
21047,11,1.2
21049,0,
21059,38,-0.24
21065,0,
21067,411,-0.6398
21073,92,-0.1068
21079,0,
21081,0,
21083,0,
21089,0,
21093,85,4.0
21095,0,
21099,0,
21101,5,0.25
21103,0,
21107,0,
21109,10,
21111,1282,0.0191
21113,5,-0.6154
21117,36,1.25
21123,0,
21125,349,-0.0464
21139,0,
21141,0,
21145,361,0.2363
21149,0,
21151,28,-0.6216
21157,0,
21167,0,
21171,0,
21185,14,1.3333
21189,0,
21193,0,
21195,10,
21197,0,
21199,0,
21205,3,-0.25
21207,0,
21209,10,2.3333
21211,19,0.0
21213,9,
21227,11,0.0
21235,234,0.0493
21239,0,
22001,0,
22003,0,
22005,6,-0.6
22009,0,
22011,0,-1.0
22015,51,-0.2031
22017,194,-0.0443
22019,35,1.9167
22023,0,
22025,0,
22027,0,
22033,1090,0.2358
22037,0,
22039,0,
22045,0,
22051,669,0.7332
22055,231,-0.0086
22057,31,5.2
22061,4,
22063,40,1.5
22067,0,
22071,567,0.5534
22073,286,0.04
22075,3,0.0
22079,42,0.0244
22083,0,
22087,0,
22089,4,
22093,0,
22095,0,
22097,7,0.1667
22099,9,
22101,4,
22103,152,0.551
22105,17,-0.0556
22109,11,0.1
22111,0,
22113,0,
22115,0,
22117,0,
22121,0,
23001,4,-0.6
23003,10,1.5
23005,406,0.3904
23007,0,
23009,9,2.0
23011,55,-0.6562
23013,13,1.1667
23015,10,0.4286
23017,28,0.2727
23019,32,0.6842
23021,0,
23023,24,1.1818
23025,8,
23027,8,
23029,3,
23031,83,0.6939
24001,12,3.0
24003,501,1.3194
