fips,dc_employment,dc_employment_growth
48355,74,0.48
48357,0,
48365,0,
48367,38,1.0
48371,28,
48373,3,0.0
48375,99,-0.0388
48379,0,
48381,212,0.0144
48383,0,
48389,0,
48397,31,2.1
48401,0,
48407,0,
48409,0,
48423,29,3.1429
48427,7,0.0
48439,1468,0.3142
48441,95,0.2667
48443,0,
48449,0,
48451,18,2.6
48453,11245,0.4196
48459,4,0.3333
48463,0,
48467,0,
48469,0,
48473,91,1.6765
48475,31,
48477,0,
48479,35,0.4583
48483,0,
48485,10,-0.5652
48491,493,1.3702
48497,3,
48499,17,2.4
49005,17,-0.7424
49007,0,
49011,111,-0.3657
49021,0,
49023,0,
49035,4284,0.4717
49037,0,
49043,80,0.0
49045,0,
49047,0,
49049,3087,0.4083
49051,9,-0.4375
49053,151,0.5253
49057,60,0.3333
50001,5,0.6667
50003,27,0.6875
50005,9,-0.1818
50007,226,0.0
50009,0,
50011,16,0.2308
50013,0,
50015,60,0.1765
50017,10,0.1111
50019,4,0.3333
50021,10,1.5
50023,22,4.5
50025,45,6.5
50027,54,17.0
51001,6,
51003,141,0.4242
51007,0,
51009,4,0.3333
51011,0,
51013,884,-0.1401
51015,15,4.0
51019,8,-0.2
51021,0,
51025,0,
51031,9,2.0
51033,6,0.0
51035,0,
51037,6,
51041,255,-0.2006
51043,0,
51047,0,
51053,0,
51059,13125,0.8149
51061,34,-0.4237
51065,0,
51067,63,2.5
51069,44,-0.6071
51073,10,
51075,19,5.3333
51077,0,
51081,0,
51083,6,0.2
51085,88,0.7959
51087,437,1.2183
51089,198,0.0
51091,0,
51093,37,8.25
51095,38,3.75
51099,2,0.0
51101,0,
51103,0,
51105,0,
51107,1638,-0.0049
51109,0,
51113,0,
51115,0,
51117,57,-0.3736
51121,26,-0.7759
51125,0,
51131,0,
51133,0,
51135,0,
51137,8,1.0
51139,0,
51143,0,
51145,0,
51147,0,
51153,287,0.4138
51155,0,
51157,7,
51159,0,
51161,6,-0.9302
51165,7,
51169,0,
51171,15,4.0
51175,0,
51177,16,-0.7377
51179,19,-0.3448
51185,3,0.0
51187,6,0.5
51191,66,
51195,13,-0.2778
51199,14,-0.5625
51510,230,-0.112
51520,0,
51540,39,0.56
51550,547,0.4587
51570,11,0.2222
51590,19,0.1875
51595,0,
51600,33,3.125
51610,9,0.2857
51620,0,
51630,17,-0.6222
51640,0,
51650,84,0.68
51660,48,-0.1429
51680,19,-0.05
51683,129,6.5882
51685,8,-0.1111
51690,0,
51700,15,4.0
51710,175,-0.5647
51730,0,
51740,6,-0.5
51750,8,
51760,200,0.8519
51770,17,1.125
51800,9,1.25
51810,560,0.0275
51820,0,
51830,0,
51840,31,
53001,0,
53005,17,-0.6047
53007,27,-0.413
53009,9,0.8
53011,1117,0.1947
53015,8,1.6667
53019,0,
53021,3,
53025,236,0.18
53027,0,
53029,24,0.0
53033,19755,0.8986
53035,271,4.42
53037,12,-0.52
53039,4,
53041,15,2.0
53045,13,2.25
53047,0,
53049,0,
53053,205,0.3758
53055,10,-0.3333
53057,40,-0.0244
53059,9,2.0
53061,349,0.0205
53063,408,0.4783
53065,0,-1.0
53067,520,0.4365
53069,0,
53071,24,0.0909
53073,87,-0.4596
53075,6,
53077,3,-0.4
54003,87,0.3182
54009,3,-0.25
54011,35,0.5217
54013,0,
54019,14,0.5556
54023,0,
54025,0,-1.0
54027,5,0.6667
54029,11,1.75
54031,4,
54033,17,0.4167
54035,0,
54037,42,3.2
54039,399,0.6979
54041,0,
54043,0,
54045,0,
54047,0,
54049,10,-0.5455
54053,9,0.125
54055,15,0.1538
54057,332,-0.0648
54059,0,
54061,275,0.1957
54063,0,
54067,7,0.0
54069,4,0.3333
54077,43,
54079,9,2.0
54081,7,0.4
54083,9,2.0
54085,0,
54087,0,
54089,3,
54091,0,
54095,0,
54097,0,
54099,5,
54105,0,
54107,6,
54109,0,
55005,11,0.1
55007,8,
55009,30,-0.2683
55013,0,
55015,6,-0.1429
55017,3,
55019,0,
55021,0,
55025,1839,0.2285
55029,0,
55031,113,-0.2848
55033,0,
55035,7,1.3333
55039,8,0.3333
55045,283,-0.2835
55049,0,
55051,0,
55055,28,-0.3913
55059,170,0.2977
55063,315,-0.1732
55065,0,
55071,0,
55073,26,0.0833
55079,4496,0.274
55083,9,0.0
55085,0,
55087,278,0.0775
55089,145,0.5426
55093,0,
55095,0,
55097,0,
55101,16,0.2308
55105,339,-0.4094
55107,0,
55109,8,0.6
55113,0,
55115,0,
55117,6,2.0
55119,0,
55121,3,
55125,0,
55127,38,0.3571
55131,14,0.5556
55133,299,-0.7995
55135,3,0.0
55137,0,
55139,29,1.2308
55141,66,3.7143
56001,5,0.25
56003,4,0.0
56005,9,0.5
56007,3,
56009,0,
56013,5,
56015,0,
56019,0,
56021,108,0.0286
56023,10,
56025,12,3.0
56027,0,
56029,4,0.3333
56031,0,
56033,5,-0.6154
56035,3,
56037,6,1.0
56039,24,5.0
56041,0,
56045,0,
