fips,partisan_lean_r
01001,0.7266406527137282
01003,0.7864672271115197
01005,0.5701790073230268
01007,0.8193918407098799
01009,0.9017961942023832
01011,0.2681441792498782
01013,0.6108420928309909
01015,0.7193900679991758
01017,0.6125448280711624
01019,0.8747689463955638
01021,0.8576642335766423
01023,0.6173638278663858
01025,0.5830403482337184
01027,0.8486014503477874
01029,0.9150189865130288
01031,0.7855859901212393
01033,0.7278298752122868
01035,0.5664405096806222
01037,0.7139057750759878
01039,0.859711808809747
01041,0.7716049382716049
01043,0.8990058533866022
01045,0.7577867350677904
01047,0.3342349304482225
01049,0.8664773687590847
01051,0.7561639873707551
01053,0.7290508406457231
01055,0.7746778784520784
01057,0.8566299664911441
01059,0.8625486461869669
01061,0.8820823244552058
01063,0.2193308550185873
01065,0.4621399176954732
01067,0.7514245780023653
01069,0.7346758683108949
01071,0.8538432089837934
01073,0.4418769229732325
01075,0.8775272727272727
01077,0.752704008836931
01079,0.8081911262798634
01081,0.6330559185638627
01083,0.7135565767666114
01085,0.31104033970276
01087,0.2150895140664961
01089,0.5369356522624837
01091,0.5163858161893932
01093,0.9054943429712342
01095,0.8549296124338953
01097,0.5772666074651236
01099,0.6130217369119297
01101,0.3410013986013986
01103,0.7579118964192696
01105,0.2847206641238501
01107,0.6141829624634749
01109,0.6223702134100196
01111,0.8218510158013544
01113,0.4873543208085497
01115,0.8172421731123388
01117,0.6985610690704384
01119,0.2911081744383613
01121,0.6661642803315749
01123,0.7449449449449449
01125,0.5976036475453292
01127,0.8560190943624567
01129,0.7750889679715303
01131,0.3408745247148289
01133,0.91571569772666
02013,0.5689870625152347
02016,0.5689870625152347
02020,0.5689870625152347
02050,0.5689870625152347
02060,0.5689870625152347
02063,0.5689870625152347
02066,0.5689870625152347
02068,0.5689870625152347
02070,0.5689870625152347
02090,0.5689870625152347
02100,0.5689870625152347
02105,0.5689870625152347
02110,0.5689870625152347
02122,0.5689870625152347
02130,0.5689870625152347
02150,0.5689870625152347
02158,0.5689870625152347
02164,0.5689870625152347
02170,0.5689870625152347
02180,0.5689870625152347
02185,0.5689870625152347
02188,0.5689870625152347
02195,0.5689870625152347
02198,0.5689870625152347
02220,0.5689870625152347
02230,0.5689870625152347
02240,0.5689870625152347
02261,0.5689870625152347
02275,0.5689870625152347
02282,0.5689870625152347
02290,0.5689870625152347
04001,0.3996064836503326
04003,0.6098806917502503
04005,0.393566158105813
04007,0.6836299189814815
04009,0.7361522755713628
04011,0.6977025392986699
04012,0.7174711437565582
04013,0.511956746650957
04015,0.7757627885921231
04017,0.5813907624344259
04019,0.4183145743370695
04021,0.6057016874093304
04023,0.4026463051095654
04025,0.6649576310892759
04027,0.5974778209546154
05001,0.7122769064359114
05003,0.7318634423897582
05005,0.7756514269351914
05007,0.6213849683113651
05009,0.8162692847124825
05011,0.6896229354939234
05013,0.8001912045889101
05015,0.6474258970358814
05017,0.4750716332378223
05019,0.5910931174089069
05021,0.7988725588886652
05023,0.831697935473742
05025,0.8310610551274452
05027,0.6759445843828715
05029,0.6899660461304297
05031,0.6753665216690833
05033,0.7810271041369472
05035,0.4787139840610313
05037,0.7274257728803183
05039,0.6376936316695353
05041,0.514978601997147
05043,0.6603299293008641
05045,0.6491691912237216
05047,0.8007459474967723
05049,0.8011104501288915
05051,0.6699978736976399
05053,0.8362218370883883
05055,0.7975347661188369
05057,0.6886188208244375
05059,0.7511194333631849
05061,0.7256874580818243
05063,0.7867389907929484
05065,0.8192405063291139
05067,0.734869109947644
05069,0.3918918918918919
05071,0.7468815542554366
05073,0.6834408602150538
05075,0.8095572733661279
05077,0.4686507936507936
05079,0.7419928825622776
05081,0.7642375995101041
05083,0.8003656307129798
05085,0.758491182233834
05087,0.7845620583922144
05089,0.7935294866895937
05091,0.7493513889767766
05093,0.6497154054306242
05095,0.5692560624743116
05097,0.8057728621526841
05099,0.6886824905400757
05101,0.8124668435013263
05103,0.5861349408764202
05105,0.7763961605584643
05107,0.4248683677602268
05109,0.8595686094538779
05111,0.8095776239581862
05113,0.8430260617760618
05115,0.7489562233888636
05117,0.82125
05119,0.3766599100854967
05121,0.8087703435804702
05123,0.4865362100685733
05125,0.6897533371521811
05127,0.8608156028368794
05129,0.8542258981649005
05131,0.675855847927484
05133,0.8001697072549852
05135,0.8038187441172516
05137,0.7973466003316749
05139,0.6600207146556188
05141,0.790316231465687
05143,0.5171267420078635
05145,0.7949541135648733
05147,0.6527178602243313
05149,0.7946580206885904
06001,0.2101955807703792
06003,0.3292682926829268
06005,0.6257477010981163
06007,0.4991271965553357
06009,0.6278560368593981
06011,0.6286853724540664
06013,0.2936411900836446
06015,0.5678720181749337
06017,0.5461524711770489
06019,0.5089786928593778
06021,0.6611760199195557
06023,0.3356635735193373
06025,0.4913651087459509
06027,0.4991621047927606
06029,0.5926968077219096
06031,0.604178212573191
06033,0.4918345229642363
06035,0.7579808284231818
06037,0.3191324384251053
06039,0.5921206795547744
06041,0.1669106881405563
06043,0.5915448522452413
06045,0.3449612403100775
06047,0.5087855356977498
06049,0.7181274900398407
06051,0.3782981530343008
06053,0.335514388145967
06055,0.3105615646310394
06057,0.4213126891135003
06059,0.4707631033131674
06061,0.5278375190048081
06063,0.5686897784841561
06065,0.4930609684125456
06067,0.3839933234443961
06069,0.4232341133494882
06071,0.4967953851445555
06073,0.4014586685758289
06075,0.155333975243446
06077,0.4892308975958676
06079,0.4306806574426595
06081,0.2318114429215454
06083,0.3511896705735863
06085,0.2810697290764132
06087,0.2085809072948894
06089,0.6697300337457818
06091,0.6077537058152793
06093,0.5798780771557541
06095,0.3705605950461982
06097,0.2522650799837725
06099,0.5417780748663101
06101,0.6450071181614806
06103,0.6973842906678728
06105,0.5277236492471213
06107,0.5919824113516211
06109,0.5973620270739327
06111,0.4099665888362853
06113,0.3007268682024862
06115,0.6149318257399401
08001,0.4415263825556279
08003,0.5395664317063439
08005,0.3850379934306547
08007,0.5577765900587921
08009,0.8413173652694611
08011,0.6834170854271356
08013,0.2077899566658169
08014,0.3432727428070999
08015,0.4185627081021087
08017,0.8815165876777251
08019,0.4019013276512047
08021,0.5745614035087719
08023,0.4086538461538461
08025,0.7215709261430246
08027,0.6679596586501164
08029,0.6648182378311769
08031,0.2059210743756128
08033,0.7582804792107117
08035,0.5228587369440183
08037,0.3650622346931434
08039,0.7449184503110153
08041,0.5355200584013676
08043,0.679820944752032
08045,0.4771829316475701
08047,0.418745458948898
08049,0.4879085297986441
08051,0.3372337507998903
08053,0.5478547854785478
08055,0.5286164939161785
08057,0.7601918465227818
08059,0.388667898557139
08061,0.8621089223638471
08063,0.8336938885884262
08065,0.3981079007926361
08067,0.3930383117065105
08069,0.3977257608146105
08071,0.555441478439425
08073,0.8129132633216647
08075,0.7729777602834088
08077,0.6095960698689956
08079,0.5537848605577689
08081,0.8031779343426773
08083,0.5927589852008457
08085,0.6520669867666004
08087,0.7304205676920791
08089,0.6184873949579832
08091,0.3838457784285017
08093,0.5669212886084357
08095,0.8020390824129142
08097,0.2679323005283424
08099,0.7451399688958009
08101,0.513330278355482
08103,0.8097560975609757
08105,0.6042944785276073
08107,0.3474747474747475
08109,0.4638235294117647
08111,0.3197278911564626
08113,0.2402164862614488
08115,0.7717231222385862
08117,0.2989396876068863
08119,0.6649516109273551
08121,0.8681397006414825
08123,0.5919746016213151
08125,0.8164271927943384
09110,0.3817208835510723
09120,0.3760099259205196
09130,0.424176875957121
09140,0.5300202280250091
09150,0.5696008790863781
09160,0.4985329920719146
09170,0.3892219864529136
09180,0.426362136191714
09190,0.3966980214077197
10001,0.4817054492234034
10003,0.3293309219801607
10005,0.5488048550857159
11001,0.050811852803796
11002,0.0785584446376353
11003,0.0794904001435492
11004,0.0592175081951748
11005,0.0511814514341446
11006,0.0747360203788159
11007,0.0564840564840564
11008,0.0656069656778374
12001,0.3876951694642177
12003,0.8630566869199439
12005,0.7312400920480695
12007,0.7838070628768303
12009,0.5990693016165489
12011,0.410453205507898
12013,0.8349408836341008
12015,0.6669146303992756
12017,0.7263954068388423
12019,0.6916943993186442
12021,0.6621603508917884
12023,0.747439866634913
12027,0.7117232543241512
12029,0.8492881688757977
12031,0.5013813795971719
12033,0.5923479607260037
12035,0.6379700611532834
12037,0.7148564664101805
12039,0.3427382476678251
12041,0.8357664233576643
12043,0.7641598787649176
12045,0.7685408761641945
12047,0.6914355485784057
12049,0.7780916124278522
12051,0.687444279346211
12053,0.6816157272308401
12055,0.7009343993834891
12057,0.5089682595192424
12059,0.8987494515138219
12061,0.6336110690299449
12063,0.7273961444474613
12065,0.5893907315925665
12067,0.8775292864749734
12069,0.6195404376909882
12071,0.6385958386727776
12073,0.3851849489795918
12075,0.7484514091151495
12077,0.8303724928366762
12079,0.6415465268676278
12081,0.6138619918201839
12083,0.654705022395972
12085,0.6523588120987679
12086,0.5535087053842772
12087,0.5879937735465969
12089,0.730635010133951
12091,0.7067339000651214
12093,0.7669074604558476
12095,0.4253669767832527
12097,0.5018810482937445
12099,0.4919370736371475
12101,0.6210423188879085
12103,0.5211639699994971
12105,0.5991138420621228
12107,0.736104984561094
12109,0.6521027895387234
12111,0.5417407133327211
12113,0.7499644204084537
12115,0.5874208675685695
12117,0.5113313889326817
12119,0.685573624034139
12121,0.802201818098762
12123,0.7956386916074822
12125,0.8383887016530251
12127,0.6044896053076539
12129,0.7174657534246576
12131,0.7856696437571823
12133,0.8240623013350286
13001,0.8112550995920327
13003,0.7687275106313379
13005,0.8650547633808638
13007,0.5982384823848238
13009,0.5085790172642762
13011,0.8896282916627056
13013,0.6994582783265808
13015,0.7519245138756148
13017,0.6585140747577296
13019,0.8479176995537928
13021,0.3853370144982003
13023,0.7751489080079418
13025,0.9110588235294118
13027,0.6324549237170597
13029,0.6789988235771368
13031,0.6425881128088924
13033,0.5444444444444444
13035,0.7238651202089255
13037,0.4377431906614786
13039,0.6751411359072481
13043,0.7368651488616462
13045,0.7031441134657983
13047,0.7748729950339631
13049,0.7793863439930856
13051,0.4063241891020417
13053,0.5796930342384888
13055,0.8190734167756398
13057,0.6910359191772296
13059,0.3034583167886248
13061,0.4597780859916782
13063,0.1510529942987049
13065,0.7568775790921596
13067,0.4202591630145826
13069,0.7246579700922685
13071,0.7495635422310517
13073,0.6244995344506518
13075,0.7304607856463232
13077,0.6658131197914242
13079,0.7479495268138802
13081,0.628265155248891
13083,0.8297560975609756
13085,0.8238331373651654
