state,facility_count,raw_share,adjusted_share
VA,450,0.32608695652173914,0.3244565217391304
GA,173,0.12536231884057972,0.12473550724637682
TX,161,0.11666666666666667,0.11608333333333333
PA,87,0.06304347826086956,0.06272826086956522
OH,49,0.035507246376811595,0.035329710144927536
IN,35,0.025362318840579712,0.025235507246376812
NY,32,0.02318840579710145,0.023072463768115944
IL,29,0.021014492753623187,0.020909420289855072
AZ,27,0.01956521739130435,0.01946739130434783
NC,23,0.016666666666666666,0.016583333333333332
CA,23,0.016666666666666666,0.016583333333333332
MI,20,0.014492753623188406,0.014420289855072464
WA,18,0.013043478260869565,0.012978260869565217
MO,17,0.012318840579710146,0.012257246376811595
OR,17,0.012318840579710146,0.012257246376811595
IA,16,0.011594202898550725,0.011536231884057972
WI,16,0.011594202898550725,0.011536231884057972
NV,14,0.010144927536231883,0.010094202898550723
OK,11,0.007971014492753623,0.007931159420289855
KY,10,0.007246376811594203,0.007210144927536232
MN,10,0.007246376811594203,0.007210144927536232
MD,10,0.007246376811594203,0.007210144927536232
TN,10,0.007246376811594203,0.007210144927536232
NJ,9,0.006521739130434782,0.006489130434782608
SC,8,0.005797101449275362,0.005768115942028986
NE,8,0.005797101449275362,0.005768115942028986
NM,8,0.005797101449275362,0.005768115942028986
AL,8,0.005797101449275362,0.005768115942028986
CO,7,0.005072463768115942,0.005047101449275362
LA,7,0.005072463768115942,0.005047101449275362
FL,7,0.005072463768115942,0.005047101449275362
WV,7,0.005072463768115942,0.005047101449275362
UT,7,0.005072463768115942,0.005047101449275362
WY,6,0.004347826086956522,0.004326086956521739
AR,6,0.004347826086956522,0.004326086956521739
ND,6,0.004347826086956522,0.004326086956521739
MS,5,0.0036231884057971015,0.003605072463768116
MA,5,0.0036231884057971015,0.003605072463768116
KS,4,0.002898550724637681,0.002884057971014493
MT,3,0.002173913043478261,0.0021630434782608696
CT,3,0.002173913043478261,0.0021630434782608696
SD,3,0.002173913043478261,0.0021630434782608696
ME,2,0.0014492753623188406,0.0014420289855072465
AK,0,0.0,0.001
NH,0,0.0,0.001
RI,0,0.0,0.001
DC,0,0.0,0.001
VT,0,0.0,0.001
ID,1,0.0007246376811594203,0.0007210144927536232
DE,1,0.0007246376811594203,0.0007210144927536232
HI,1,0.0007246376811594203,0.0007210144927536232
