fips,approval_prob,beta_alpha,beta_beta
19171,0.3754,15.01,24.99
19173,0.3785,15.14,24.86
19175,0.408,16.32,23.68
19177,0.4066,16.26,23.74
19179,0.3798,15.19,24.81
19181,0.3969,15.88,24.12
19183,0.3995,15.98,24.02
19185,0.3785,15.14,24.86
19187,0.3774,15.1,24.9
19189,0.407,16.28,23.72
19191,0.4863,19.45,20.55
19193,0.375,15.0,25.0
19195,0.3993,15.97,24.03
19197,0.3807,15.23,24.77
20001,0.44,17.6,22.4
20003,0.44,17.6,22.4
20005,0.44,17.6,22.4
20007,0.44,17.6,22.4
20009,0.44,17.6,22.4
20011,0.44,17.6,22.4
20013,0.44,17.6,22.4
20015,0.44,17.6,22.4
20017,0.44,17.6,22.4
20019,0.44,17.6,22.4
20021,0.44,17.6,22.4
20023,0.44,17.6,22.4
20025,0.44,17.6,22.4
20027,0.44,17.6,22.4
20029,0.44,17.6,22.4
20031,0.44,17.6,22.4
20033,0.44,17.6,22.4
20035,0.44,17.6,22.4
20037,0.44,17.6,22.4
20039,0.44,17.6,22.4
20041,0.44,17.6,22.4
20043,0.44,17.6,22.4
20045,0.44,17.6,22.4
20047,0.44,17.6,22.4
20049,0.44,17.6,22.4
20051,0.44,17.6,22.4
20053,0.44,17.6,22.4
20055,0.44,17.6,22.4
20057,0.44,17.6,22.4
20059,0.44,17.6,22.4
20061,0.44,17.6,22.4
20063,0.44,17.6,22.4
20065,0.44,17.6,22.4
20067,0.44,17.6,22.4
20069,0.44,17.6,22.4
20071,0.44,17.6,22.4
20073,0.44,17.6,22.4
20075,0.44,17.6,22.4
20077,0.44,17.6,22.4
20079,0.44,17.6,22.4
20081,0.44,17.6,22.4
20083,0.44,17.6,22.4
20085,0.44,17.6,22.4
20087,0.44,17.6,22.4
20089,0.44,17.6,22.4
20091,0.44,17.6,22.4
20093,0.44,17.6,22.4
20095,0.44,17.6,22.4
20097,0.44,17.6,22.4
20099,0.44,17.6,22.4
20101,0.44,17.6,22.4
20103,0.44,17.6,22.4
20105,0.44,17.6,22.4
20107,0.44,17.6,22.4
20109,0.44,17.6,22.4
20111,0.44,17.6,22.4
20113,0.44,17.6,22.4
20115,0.44,17.6,22.4
20117,0.44,17.6,22.4
20119,0.44,17.6,22.4
20121,0.44,17.6,22.4
20123,0.44,17.6,22.4
20125,0.44,17.6,22.4
20127,0.44,17.6,22.4
20129,0.44,17.6,22.4
20131,0.44,17.6,22.4
20133,0.44,17.6,22.4
20135,0.44,17.6,22.4
20137,0.44,17.6,22.4
20139,0.44,17.6,22.4
20141,0.44,17.6,22.4
20143,0.44,17.6,22.4
20145,0.44,17.6,22.4
20147,0.44,17.6,22.4
20149,0.44,17.6,22.4
20151,0.44,17.6,22.4
20153,0.44,17.6,22.4
20155,0.44,17.6,22.4
20157,0.44,17.6,22.4
20159,0.44,17.6,22.4
20161,0.44,17.6,22.4
20163,0.44,17.6,22.4
20165,0.44,17.6,22.4
20167,0.44,17.6,22.4
20169,0.44,17.6,22.4
20171,0.44,17.6,22.4
20173,0.44,17.6,22.4
20175,0.44,17.6,22.4
20177,0.44,17.6,22.4
20179,0.44,17.6,22.4
20181,0.44,17.6,22.4
20183,0.44,17.6,22.4
20185,0.44,17.6,22.4
20187,0.44,17.6,22.4
20189,0.44,17.6,22.4
20191,0.44,17.6,22.4
20193,0.44,17.6,22.4
20195,0.44,17.6,22.4
20197,0.44,17.6,22.4
20199,0.44,17.6,22.4
20201,0.44,17.6,22.4
20203,0.44,17.6,22.4
20205,0.44,17.6,22.4
20207,0.44,17.6,22.4
20209,0.44,17.6,22.4
21001,0.472,18.88,21.12
21003,0.472,18.88,21.12
21005,0.5111,20.44,19.56
21007,0.4671,18.68,21.32
21009,0.472,18.88,21.12
21011,0.4194,16.78,23.22
21013,0.472,18.88,21.12
21015,0.4407,17.63,22.37
21017,0.4671,18.68,21.32
21019,0.5046,20.19,19.81
21021,0.5033,20.13,19.87
21023,0.4671,18.68,21.32
21025,0.4777,19.11,20.89
21027,0.4671,18.68,21.32
21029,0.5032,20.13,19.87
21031,0.472,18.88,21.12
21033,0.4671,18.68,21.32
21035,0.5051,20.2,19.8
21037,0.4983,19.93,20.07
21039,0.4142,16.57,23.43
21041,0.4931,19.72,20.28
21043,0.5035,20.14,19.86
21045,0.472,18.88,21.12
21047,0.4457,17.83,22.17
21049,0.5069,20.28,19.72
21051,0.5076,20.3,19.7
21053,0.472,18.88,21.12
21055,0.4194,16.78,23.22
21057,0.4228,16.91,23.09
21059,0.4738,18.95,21.05
21061,0.472,18.88,21.12
21063,0.4822,19.29,20.71
21065,0.4947,19.79,20.21
21067,0.5131,20.53,19.47
21069,0.4671,18.68,21.32
21071,0.4777,19.11,20.89
21073,0.509,20.36,19.64
21075,0.4671,18.68,21.32
21077,0.4368,17.47,22.53
21079,0.4777,19.11,20.89
21081,0.4882,19.53,20.47
21083,0.4194,16.78,23.22
21085,0.472,18.88,21.12
21087,0.4742,18.97,21.03
21089,0.5072,20.29,19.71
21091,0.492,19.68,20.32
21093,0.438,17.52,22.48
21095,0.472,18.88,21.12
21097,0.4194,16.78,23.22
21099,0.4228,16.91,23.09
21101,0.4013,16.05,23.95
21103,0.4228,16.91,23.09
21105,0.4422,17.69,22.31
21107,0.4671,18.68,21.32
21109,0.4822,19.29,20.71
21111,0.506,20.24,19.76
21113,0.5127,20.51,19.49
21115,0.4777,19.11,20.89
21117,0.4985,19.94,20.06
21119,0.4777,19.11,20.89
21121,0.472,18.88,21.12
21123,0.4194,16.78,23.22
21125,0.4001,16.0,24.0
21127,0.4777,19.11,20.89
21129,0.4777,19.11,20.89
21131,0.4777,19.11,20.89
21133,0.4777,19.11,20.89
21135,0.4671,18.68,21.32
21137,0.4777,19.11,20.89
21139,0.4671,18.68,21.32
21141,0.4777,19.11,20.89
21143,0.4194,16.78,23.22
21145,0.4428,17.71,22.29
21147,0.4671,18.68,21.32
21149,0.472,18.88,21.12
21151,0.514,20.56,19.44
21153,0.4671,18.68,21.32
21155,0.4671,18.68,21.32
21157,0.4368,17.47,22.53
21159,0.4777,19.11,20.89
21161,0.4671,18.68,21.32
21163,0.4898,19.59,20.41
21165,0.4671,18.68,21.32
21167,0.375,15.0,25.0
21169,0.472,18.88,21.12
21171,0.472,18.88,21.12
21173,0.5066,20.26,19.74
21175,0.4877,19.51,20.49
21177,0.472,18.88,21.12
21179,0.4235,16.94,23.06
21181,0.4671,18.68,21.32
21183,0.4245,16.98,23.02
21185,0.3751,15.0,25.0
21187,0.4301,17.21,22.79
21189,0.4777,19.11,20.89
21191,0.5065,20.26,19.74
21193,0.4777,19.11,20.89
21195,0.4777,19.11,20.89
21197,0.4822,19.29,20.71
21199,0.472,18.88,21.12
21201,0.4671,18.68,21.32
21203,0.472,18.88,21.12
21205,0.5049,20.19,19.81
21207,0.472,18.88,21.12
21209,0.457,18.28,21.72
21211,0.4568,18.27,21.73
21213,0.4884,19.53,20.47
21215,0.4938,19.75,20.25
21217,0.472,18.88,21.12
21219,0.4163,16.65,23.35
21221,0.4194,16.78,23.22
21223,0.4707,18.83,21.17
21225,0.4194,16.78,23.22
21227,0.5139,20.55,19.45
21229,0.4194,16.78,23.22
21231,0.4671,18.68,21.32
21233,0.4671,18.68,21.32
21235,0.4895,19.58,20.42
21237,0.4947,19.79,20.21
21239,0.4965,19.86,20.14
22001,0.5047,20.19,19.81
22003,0.5047,20.19,19.81
22005,0.5299,21.2,18.8
22007,0.4864,19.46,20.54
22009,0.4864,19.46,20.54
22011,0.5267,21.07,18.93
22013,0.5392,21.57,18.43
22015,0.5319,21.27,18.73
22017,0.5111,20.44,19.56
22019,0.4427,17.71,22.29
22021,0.4864,19.46,20.54
22023,0.4606,18.43,21.57
22025,0.4864,19.46,20.54
22027,0.4809,19.24,20.76
22029,0.4772,19.09,20.91
22031,0.4864,19.46,20.54
22033,0.5603,22.41,17.59
22035,0.5428,21.71,18.29
22037,0.4769,19.08,20.92
22039,0.5047,20.19,19.81
22041,0.5047,20.19,19.81
22043,0.4046,16.19,23.81
22045,0.4924,19.7,20.3
22047,0.5428,21.71,18.29
22049,0.4864,19.46,20.54
22051,0.5603,22.41,17.59
22053,0.418,16.72,23.28
22055,0.48,19.2,20.8
22057,0.447,17.88,22.12
22059,0.4087,16.35,23.65
22061,0.4691,18.76,21.24
22063,0.3764,15.06,24.94
22065,0.5428,21.71,18.29
22067,0.5108,20.43,19.57
22069,0.4746,18.98,21.02
22071,0.5593,22.37,17.63
22073,0.5562,22.25,17.75
22075,0.4011,16.04,23.96
22077,0.4729,18.91,21.09
22079,0.4556,18.22,21.78
22081,0.3979,15.92,24.08
22083,0.3837,15.35,24.65
22085,0.5047,20.19,19.81
22087,0.4729,18.91,21.09
22089,0.5659,22.64,17.36
22091,0.5468,21.87,18.13
22093,0.474,18.96,21.04
22095,0.5664,22.65,17.35
22097,0.4457,17.83,22.17
22099,0.4864,19.46,20.54
22101,0.4864,19.46,20.54
22103,0.5204,20.81,19.19
22105,0.5177,20.71,19.29
22107,0.5428,21.71,18.29
22109,0.458,18.32,21.68
22111,0.4864,19.46,20.54
22113,0.4864,19.46,20.54
22115,0.5047,20.19,19.81
22117,0.5047,20.19,19.81
22119,0.5047,20.19,19.81
22121,0.5398,21.59,18.41
22123,0.4077,16.31,23.69
22125,0.5575,22.3,17.7
22127,0.4046,16.19,23.81
23001,0.44,17.6,22.4
23003,0.44,17.6,22.4
23005,0.44,17.6,22.4
23007,0.44,17.6,22.4
23009,0.44,17.6,22.4
23011,0.44,17.6,22.4
23013,0.44,17.6,22.4
23015,0.44,17.6,22.4
23017,0.44,17.6,22.4
23019,0.44,17.6,22.4
23021,0.44,17.6,22.4
23023,0.44,17.6,22.4
23025,0.44,17.6,22.4
23027,0.44,17.6,22.4
23029,0.44,17.6,22.4
23031,0.44,17.6,22.4
24001,0.4238,16.95,23.05
24003,0.3761,15.04,24.96
24005,0.4028,16.11,23.89
24009,0.4087,16.35,23.65
24011,0.375,15.0,25.0
24013,0.3841,15.36,24.64
24015,0.4397,17.59,22.41
24017,0.4119,16.47,23.53
24019,0.4341,17.36,22.64
24021,0.375,15.0,25.0
24023,0.3799,15.2,24.8
24025,0.3768,15.07,24.93
24027,0.3756,15.02,24.98
24029,0.4399,17.6,22.4
24031,0.3823,15.29,24.71
24033,0.375,15.0,25.0
24035,0.3755,15.02,24.98
24037,0.4495,17.98,22.02
24039,0.4341,17.36,22.64
24041,0.3899,15.6,24.4
24043,0.4128,16.51,23.49
24045,0.5038,20.15,19.85
24047,0.4826,19.3,20.7
24510,0.4506,18.03,21.97
25001,0.44,17.6,22.4
25003,0.44,17.6,22.4
25005,0.44,17.6,22.4
25007,0.44,17.6,22.4
25009,0.44,17.6,22.4
25011,0.44,17.6,22.4
25013,0.44,17.6,22.4
25015,0.44,17.6,22.4
25017,0.44,17.6,22.4
25019,0.44,17.6,22.4
25021,0.44,17.6,22.4
25023,0.44,17.6,22.4
25025,0.44,17.6,22.4
25027,0.44,17.6,22.4
26001,0.2811,11.24,28.76
26003,0.2718,10.87,29.13
26005,0.2273,9.09,30.91
26007,0.2694,10.78,29.22
26009,0.2601,10.4,29.6
26011,0.2938,11.75,28.25
26013,0.2749,11.0,29.0
26015,0.3056,12.22,27.78
26017,0.469,18.76,21.24
26019,0.6624,26.5,13.5
26021,0.6268,25.07,14.93
26023,0.2296,9.18,30.82
26025,0.316,12.64,27.36
26027,0.259,10.36,29.64
26029,0.6593,26.37,13.63
26031,0.3021,12.09,27.91
26033,0.2671,10.68,29.32
26035,0.2938,11.75,28.25
26037,0.2711,10.85,29.15
26039,0.2811,11.24,28.76
26041,0.2273,9.09,30.91
26043,0.2273,9.09,30.91
26045,0.4832,19.33,20.67
26047,0.6479,25.92,14.08
26049,0.2887,11.55,28.45
26051,0.2938,11.75,28.25
26053,0.4121,16.48,23.52
26055,0.6045,24.18,15.82
26057,0.2884,11.53,28.47
26059,0.2273,9.09,30.91
26061,0.6127,24.51,15.49
26063,0.2328,9.31,30.69
26065,0.4683,18.73,21.27
26067,0.3576,14.3,25.7
26069,0.2749,11.0,29.0
26071,0.2273,9.09,30.91
26073,0.4468,17.87,22.13
26075,0.4535,18.14,21.86
26077,0.6641,26.56,13.44
26079,0.2273,9.09,30.91
26081,0.2891,11.56,28.44
26083,0.6123,24.49,15.51
26085,0.2749,11.0,29.0
26087,0.308,12.32,27.68
26089,0.2987,11.95,28.05
26091,0.2273,9.09,30.91
26093,0.2273,9.09,30.91
26095,0.2811,11.24,28.76
26097,0.3867,15.47,24.53
26099,0.4977,19.91,20.09
26101,0.4121,16.48,23.52
26103,0.5519,22.07,17.93
26105,0.2768,11.07,28.93
26107,0.2901,11.61,28.39
26109,0.2273,9.09,30.91
26111,0.6514,26.05,13.95
26113,0.2811,11.24,28.76
26115,0.5833,23.33,16.67
26117,0.2273,9.09,30.91
26119,0.2811,11.24,28.76
26121,0.3655,14.62,25.38
26123,0.2811,11.24,28.76
26125,0.2906,11.62,28.38
26127,0.2749,11.0,29.0
26129,0.2874,11.5,28.5
26131,0.2749,11.0,29.0
26133,0.2811,11.24,28.76
26135,0.2811,11.24,28.76
26137,0.4223,16.89,23.11
26139,0.2986,11.94,28.06
26141,0.2694,10.78,29.22
26143,0.4486,17.95,22.05
26145,0.4433,17.73,22.27
26147,0.379,15.16,24.84
26149,0.2811,11.24,28.76
26151,0.2874,11.5,28.5
26153,0.2749,11.0,29.0
26155,0.2545,10.18,29.82
26157,0.2347,9.39,30.61
26159,0.4121,16.48,23.52
26161,0.2273,9.09,30.91
26163,0.2523,10.09,29.91
26165,0.2328,9.31,30.69
27001,0.3937,15.75,24.25
27003,0.3842,15.37,24.63
27005,0.404,16.16,23.84
27007,0.4516,18.06,21.94
27009,0.386,15.44,24.56
27011,0.375,15.0,25.0
27013,0.4404,17.61,22.39
27015,0.375,15.0,25.0
27017,0.5084,20.34,19.66
27019,0.4052,16.21,23.79
27021,0.3999,15.99,24.01
27023,0.3915,15.66,24.34
27025,0.375,15.0,25.0
27027,0.4378,17.51,22.49
27029,0.3953,15.81,24.19
27031,0.504,20.16,19.84
27033,0.375,15.0,25.0
27035,0.453,18.12,21.88
27037,0.3754,15.02,24.98
27039,0.3762,15.05,24.95
27041,0.3903,15.61,24.39
27043,0.375,15.0,25.0
27045,0.3832,15.33,24.67
27047,0.375,15.0,25.0
27049,0.375,15.0,25.0
27051,0.3769,15.08,24.92
27053,0.3752,15.01,24.99
27055,0.4392,17.57,22.43
27057,0.4037,16.15,23.85
27059,0.375,15.0,25.0
27061,0.39,15.6,24.4
27063,0.3776,15.1,24.9
27065,0.3819,15.28,24.72
27067,0.393,15.72,24.28
27069,0.3858,15.43,24.57
27071,0.3879,15.52,24.48
27073,0.375,15.0,25.0
27075,0.4548,18.19,21.81
27077,0.375,15.0,25.0
27079,0.375,15.0,25.0
27081,0.375,15.0,25.0
27083,0.4036,16.15,23.85
27085,0.3859,15.44,24.56
27087,0.4315,17.26,22.74
27089,0.3846,15.38,24.62
27091,0.3953,15.81,24.19
27093,0.3859,15.44,24.56
27095,0.4069,16.27,23.73
27097,0.375,15.0,25.0
27099,0.3837,15.35,24.65
27101,0.3817,15.27,24.73
27103,0.4019,16.07,23.93
27105,0.375,15.0,25.0
27107,0.3886,15.54,24.46
27109,0.4145,16.58,23.42
27111,0.4479,17.91,22.09
27113,0.3845,15.38,24.62
27115,0.3766,15.06,24.94
27117,0.3791,15.16,24.84
27119,0.3983,15.93,24.07
27121,0.3846,15.39,24.61
27123,0.4298,17.19,22.81
27125,0.3849,15.4,24.6
27127,0.375,15.0,25.0
27129,0.375,15.0,25.0
27131,0.4619,18.47,21.53
27133,0.4166,16.66,23.34
27135,0.3834,15.34,24.66
27137,0.375,15.0,25.0
27139,0.4365,17.46,22.54
27141,0.4299,17.2,22.8
27143,0.3849,15.4,24.6
27145,0.3761,15.05,24.95
27147,0.375,15.0,25.0
27149,0.4125,16.5,23.5
27151,0.375,15.0,25.0
27153,0.375,15.0,25.0
27155,0.375,15.0,25.0
27157,0.4127,16.51,23.49
27159,0.3953,15.81,24.19
27161,0.3852,15.41,24.59
27163,0.3779,15.12,24.88
27165,0.3898,15.59,24.41
27167,0.3965,15.86,24.14
27169,0.4093,16.37,23.63
27171,0.375,15.0,25.0
27173,0.3846,15.38,24.62
28001,0.5428,21.71,18.29
28003,0.4985,19.94,20.06
28005,0.5047,20.19,19.81
28007,0.4769,19.08,20.92
28009,0.4095,16.38,23.62
28011,0.5635,22.54,17.46
28013,0.3957,15.83,24.17
28015,0.4864,19.46,20.54
28017,0.474,18.96,21.04
28019,0.4864,19.46,20.54
28021,0.5428,21.71,18.29
28023,0.5047,20.19,19.81
28025,0.5428,21.71,18.29
28027,0.5428,21.71,18.29
28029,0.5428,21.71,18.29
28031,0.5047,20.19,19.81
28033,0.5246,20.98,19.02
28035,0.5673,22.69,17.31
28037,0.4046,16.19,23.81
28039,0.5047,20.19,19.81
28041,0.5047,20.19,19.81
28043,0.5535,22.14,17.86
28045,0.4499,18.0,22.0
28047,0.5559,22.24,17.76
28049,0.5626,22.5,17.5
28051,0.5428,21.71,18.29
28053,0.5428,21.71,18.29
28055,0.5428,21.71,18.29
28057,0.4046,16.19,23.81
28059,0.5583,22.33,17.67
28061,0.4792,19.17,20.83
28063,0.5428,21.71,18.29
28065,0.5468,21.87,18.13
28067,0.418,16.72,23.28
28069,0.5468,21.87,18.13
28071,0.5295,21.18,18.82
28073,0.5606,22.42,17.58
28075,0.5555,22.22,17.78
28077,0.5047,20.19,19.81
28079,0.4765,19.06,20.94
28081,0.5595,22.38,17.62
28083,0.5243,20.97,19.03
28085,0.3994,15.98,24.02
28087,0.5669,22.68,17.32
28089,0.4426,17.7,22.3
28091,0.5047,20.19,19.81
28093,0.5658,22.63,17.37
28095,0.5541,22.17,17.83
28097,0.4979,19.91,20.09
28099,0.5047,20.19,19.81
28101,0.3994,15.98,24.02
28103,0.5428,21.71,18.29
28105,0.5668,22.67,17.33
28107,0.5428,21.71,18.29
28109,0.4864,19.46,20.54
28111,0.5047,20.19,19.81
28113,0.5262,21.05,18.95
28115,0.5211,20.85,19.15
28117,0.5547,22.19,17.81
28119,0.5428,21.71,18.29
28121,0.5408,21.63,18.37
28123,0.4765,19.06,20.94
28125,0.5428,21.71,18.29
28127,0.5047,20.19,19.81
28129,0.418,16.72,23.28
28131,0.5337,21.35,18.65
28133,0.5428,21.71,18.29
28135,0.5428,21.71,18.29
28137,0.4864,19.46,20.54
28139,0.4949,19.8,20.2
28141,0.4577,18.31,21.69
28143,0.5428,21.71,18.29
28145,0.4046,16.19,23.81
28147,0.4774,19.09,20.91
28149,0.568,22.72,17.28
28151,0.5428,21.71,18.29
28153,0.5047,20.19,19.81
28155,0.4864,19.46,20.54
28157,0.5608,22.43,17.57
28159,0.5392,21.57,18.43
28161,0.5315,21.26,18.74
28163,0.5428,21.71,18.29
29001,0.5862,23.45,16.55
29003,0.549,21.96,18.04
29005,0.3936,15.74,24.26
29007,0.3936,15.74,24.26
29009,0.4111,16.44,23.56
29011,0.512,20.48,19.52
29013,0.5009,20.04,19.96
29015,0.5009,20.04,19.96
29017,0.5249,21.0,19.0
29019,0.5873,23.49,16.51
29021,0.564,22.56,17.44
29023,0.3708,14.83,25.17
29025,0.4488,17.95,22.05
29027,0.5825,23.3,16.7
29029,0.552,22.08,17.92
29031,0.587,23.48,16.52
29033,0.5009,20.04,19.96
29035,0.4111,16.44,23.56
29037,0.2938,11.75,28.25
29039,0.3936,15.74,24.26
29041,0.3819,15.28,24.72
29043,0.606,24.24,15.76
29045,0.3936,15.74,24.26
29047,0.3728,14.91,25.09
29049,0.509,20.36,19.64
29051,0.5638,22.55,17.45
29053,0.5009,20.04,19.96
29055,0.5009,20.04,19.96
29057,0.5009,20.04,19.96
29059,0.5009,20.04,19.96
29061,0.3936,15.74,24.26
29063,0.445,17.8,22.2
29065,0.5249,21.0,19.0
29067,0.5249,21.0,19.0
29069,0.5249,21.0,19.0
29071,0.4827,19.31,20.69
29073,0.4014,16.05,23.95
29075,0.3936,15.74,24.26
29077,0.4822,19.29,20.71
29079,0.3936,15.74,24.26
29081,0.3936,15.74,24.26
29083,0.5009,20.04,19.96
29085,0.5009,20.04,19.96
29087,0.3936,15.74,24.26
29089,0.4861,19.44,20.56
29091,0.5249,21.0,19.0
29093,0.4111,16.44,23.56
29095,0.4511,18.04,21.96
29097,0.4289,17.16,22.84
29099,0.3837,15.35,24.65
29101,0.6047,24.19,15.81
29103,0.3936,15.74,24.26
29105,0.5249,21.0,19.0
29107,0.3807,15.23,24.77
29109,0.512,20.48,19.52
29111,0.5009,20.04,19.96
29113,0.4642,18.57,21.43
29115,0.3936,15.74,24.26
29117,0.3936,15.74,24.26
29119,0.5249,21.0,19.0
29121,0.35,14.0,26.0
29123,0.5249,21.0,19.0
29125,0.512,20.48,19.52
29127,0.4375,17.5,22.5
29129,0.3936,15.74,24.26
29131,0.3989,15.96,24.04
29133,0.5009,20.04,19.96
29135,0.3998,15.99,24.01
29137,0.3936,15.74,24.26
29139,0.2938,11.75,28.25
29141,0.3532,14.13,25.87
29143,0.4111,16.44,23.56
29145,0.3867,15.47,24.53
29147,0.4839,19.36,20.64
29149,0.4197,16.79,23.21
29151,0.4671,18.68,21.32
29153,0.5249,21.0,19.0
29155,0.5249,21.0,19.0
29157,0.5009,20.04,19.96
29159,0.3936,15.74,24.26
29161,0.4583,18.33,21.67
29163,0.5009,20.04,19.96
29165,0.5467,21.87,18.13
29167,0.3936,15.74,24.26
29169,0.5589,22.35,17.65
29171,0.3936,15.74,24.26
29173,0.5009,20.04,19.96
29175,0.5155,20.62,19.38
29177,0.4648,18.59,21.41
29179,0.5249,21.0,19.0
29181,0.4111,16.44,23.56
29183,0.4483,17.93,22.07
29185,0.3936,15.74,24.26
29186,0.5009,20.04,19.96
29187,0.5766,23.07,16.93
29189,0.5507,22.03,17.97
29195,0.4375,17.5,22.5
29197,0.3936,15.74,24.26
29199,0.3936,15.74,24.26
29201,0.3511,14.04,25.96
29203,0.4111,16.44,23.56
29205,0.3936,15.74,24.26
29207,0.3867,15.47,24.53
29209,0.5249,21.0,19.0
29211,0.3936,15.74,24.26
29213,0.5927,23.71,16.29
29215,0.5249,21.0,19.0
29217,0.3936,15.74,24.26
29219,0.5948,23.79,16.21
29221,0.4189,16.76,23.24
29223,0.5249,21.0,19.0
29225,0.4513,18.05,21.95
29227,0.3936,15.74,24.26
29229,0.5249,21.0,19.0
29510,0.577,23.08,16.92
30001,0.44,17.6,22.4
30003,0.44,17.6,22.4
30005,0.44,17.6,22.4
30007,0.44,17.6,22.4
30009,0.44,17.6,22.4
30011,0.44,17.6,22.4
30013,0.44,17.6,22.4
30015,0.44,17.6,22.4
30017,0.44,17.6,22.4
30019,0.44,17.6,22.4
30021,0.44,17.6,22.4
30023,0.44,17.6,22.4
30025,0.44,17.6,22.4
30027,0.44,17.6,22.4
30029,0.44,17.6,22.4
30031,0.44,17.6,22.4
30033,0.44,17.6,22.4
30035,0.44,17.6,22.4
30037,0.44,17.6,22.4
30039,0.44,17.6,22.4
30041,0.44,17.6,22.4
30043,0.44,17.6,22.4
30045,0.44,17.6,22.4
30047,0.44,17.6,22.4
30049,0.44,17.6,22.4
30051,0.44,17.6,22.4
30053,0.44,17.6,22.4
30055,0.44,17.6,22.4
30057,0.44,17.6,22.4
30059,0.44,17.6,22.4
30061,0.44,17.6,22.4
30063,0.44,17.6,22.4
30065,0.44,17.6,22.4
30067,0.44,17.6,22.4
30069,0.44,17.6,22.4
30071,0.44,17.6,22.4
30073,0.44,17.6,22.4
30075,0.44,17.6,22.4
30077,0.44,17.6,22.4
30079,0.44,17.6,22.4
30081,0.44,17.6,22.4
30083,0.44,17.6,22.4
30085,0.44,17.6,22.4
30087,0.44,17.6,22.4
30089,0.44,17.6,22.4
30091,0.44,17.6,22.4
30093,0.44,17.6,22.4
30095,0.44,17.6,22.4
30097,0.44,17.6,22.4
30099,0.44,17.6,22.4
30101,0.44,17.6,22.4
30103,0.44,17.6,22.4
30105,0.44,17.6,22.4
30107,0.44,17.6,22.4
30109,0.44,17.6,22.4
30111,0.44,17.6,22.4
31001,0.44,17.6,22.4
31003,0.44,17.6,22.4
31005,0.44,17.6,22.4
31007,0.44,17.6,22.4
31009,0.44,17.6,22.4
31011,0.44,17.6,22.4
31013,0.44,17.6,22.4
31015,0.44,17.6,22.4
31017,0.44,17.6,22.4
31019,0.44,17.6,22.4
31021,0.44,17.6,22.4
31023,0.44,17.6,22.4
31025,0.44,17.6,22.4
31027,0.44,17.6,22.4
31029,0.44,17.6,22.4
31031,0.44,17.6,22.4
31033,0.44,17.6,22.4
31035,0.44,17.6,22.4
31037,0.44,17.6,22.4
31039,0.44,17.6,22.4
31041,0.44,17.6,22.4
31043,0.44,17.6,22.4
31045,0.44,17.6,22.4
31047,0.44,17.6,22.4
31049,0.44,17.6,22.4
31051,0.44,17.6,22.4
31053,0.44,17.6,22.4
31055,0.44,17.6,22.4
31057,0.44,17.6,22.4
31059,0.44,17.6,22.4
31061,0.44,17.6,22.4
31063,0.44,17.6,22.4
31065,0.44,17.6,22.4
31067,0.44,17.6,22.4
31069,0.44,17.6,22.4
31071,0.44,17.6,22.4
31073,0.44,17.6,22.4
31075,0.44,17.6,22.4
31077,0.44,17.6,22.4
31079,0.44,17.6,22.4
31081,0.44,17.6,22.4
31083,0.44,17.6,22.4
31085,0.44,17.6,22.4
31087,0.44,17.6,22.4
31089,0.44,17.6,22.4
31091,0.44,17.6,22.4
31093,0.44,17.6,22.4
31095,0.44,17.6,22.4
31097,0.44,17.6,22.4
31099,0.44,17.6,22.4
31101,0.44,17.6,22.4
31103,0.44,17.6,22.4
31105,0.44,17.6,22.4
31107,0.44,17.6,22.4
31109,0.44,17.6,22.4
31111,0.44,17.6,22.4
31113,0.44,17.6,22.4
31115,0.44,17.6,22.4
31117,0.44,17.6,22.4
31119,0.44,17.6,22.4
31121,0.44,17.6,22.4
31123,0.44,17.6,22.4
31125,0.44,17.6,22.4
31127,0.44,17.6,22.4
31129,0.44,17.6,22.4
31131,0.44,17.6,22.4
31133,0.44,17.6,22.4
31135,0.44,17.6,22.4
31137,0.44,17.6,22.4
31139,0.44,17.6,22.4
31141,0.44,17.6,22.4
31143,0.44,17.6,22.4
31145,0.44,17.6,22.4
31147,0.44,17.6,22.4
31149,0.44,17.6,22.4
31151,0.44,17.6,22.4
31153,0.44,17.6,22.4
31155,0.44,17.6,22.4
31157,0.44,17.6,22.4
31159,0.44,17.6,22.4
31161,0.44,17.6,22.4
31163,0.44,17.6,22.4
31165,0.44,17.6,22.4
31167,0.44,17.6,22.4
31169,0.44,17.6,22.4
31171,0.44,17.6,22.4
31173,0.44,17.6,22.4
31175,0.44,17.6,22.4
31177,0.44,17.6,22.4
31179,0.44,17.6,22.4
31181,0.44,17.6,22.4
31183,0.44,17.6,22.4
31185,0.44,17.6,22.4
32001,0.4553,18.21,21.79
32003,0.5114,20.46,19.54
32005,0.4148,16.59,23.41
32007,0.4412,17.65,22.35
32009,0.4621,18.48,21.52
32011,0.4499,18.0,22.0
32013,0.4484,17.94,22.06
32015,0.4412,17.65,22.35
32017,0.4408,17.63,22.37
32019,0.4517,18.07,21.93
32021,0.4597,18.39,21.61
32023,0.4597,18.39,21.61
32027,0.4597,18.39,21.61
32029,0.4393,17.57,22.43
32031,0.5102,20.41,19.59
32033,0.4499,18.0,22.0
32510,0.5123,20.49,19.51
33001,0.44,17.6,22.4
33003,0.44,17.6,22.4
33005,0.44,17.6,22.4
33007,0.44,17.6,22.4
33009,0.44,17.6,22.4
33011,0.44,17.6,22.4
33013,0.44,17.6,22.4
