fips,county,state,facility_count,total_mw,avg_project_mw,hyperscaler_share,binary_outcome,saturation_count,pushback_flag,state_incentive_score,dc_employment,dc_employment_growth,water_stress_decile,partisan_lean_r,population,population_density,median_household_income,unemployment_rate,pct_college_educated,ag_employment_share,electricity_price,log_population,log_income,log_dc_employment,water_stress_x_density
13063,Clayton,GA,1,180.0,180.0,0.0,,0,1,0.75,194,-0.2302,7.0,0.1510529942987049,296312,2091.82,56207,0.0684,0.2061,0.0041,13.02,12.59917160705077,10.936814374505609,5.272999558563747,14.642740000000002
13067,Cobb,GA,2,288.0,144.0,0.0,,6,0,0.75,2125,1.0257,8.0,0.4202591630145826,765813,2253.85,94244,0.0463,0.497,0.0015,13.02,13.548694599393874,11.453653053505157,7.661997558901893,18.0308
13077,Coweta,GA,2,1136.0,568.0,0.0,1.0,1,1,0.75,43,3.7778,5.0,0.6658131197914242,147449,334.3,90031,0.0275,0.3415,0.0088,13.02,11.901244414243422,11.40792044167306,3.784189633918261,1.6715
13097,Douglas,GA,8,1470.0,183.75,0.125,1.0,13,0,0.75,197,0.2086,6.0,0.3393051568840938,144735,723.18,76930,0.0656,0.2986,0.0009,13.02,11.88266667227757,11.2506641951986,5.288267030694535,4.33908
13113,Fayette,GA,3,1850.0,616.6666666666666,0.0,1.0,2,1,0.75,32,2.5556,4.0,0.5115297522543647,119259,612.97,105910,0.039,0.4725,0.0025,13.02,11.689061262677097,11.570354397772178,3.4965075614664802,2.45188
13115,Floyd,GA,2,704.0,352.0,0.0,,0,0,0.75,3,0.0,7.0,0.7070275828155036,98541,193.29,57868,0.0409,0.2231,0.0061,13.02,11.49823813221835,10.96593711430799,1.3862943611198906,1.35303
13121,Fulton,GA,6,1115.5,185.91666666666666,0.16666666666666666,1.0,46,1,0.75,13387,0.551,6.0,0.2702629484453644,1061944,2016.24,86267,0.0537,0.5705,0.0023,13.02,13.875612690365708,11.365214008771872,9.502114062331216,12.09744
13139,Hall,GA,1,0.0,500.0,0.0,,0,1,0.75,41,1.9286,6.0,0.7157875123807282,204953,521.53,74153,0.0388,0.255,0.0098,13.02,12.230540842697385,11.21389929081779,3.7376696182833684,3.12918
13169,Jones,GA,2,900.0,900.0,0.0,0.0,0,1,0.75,0,0.0,6.0,0.6884787472035794,28382,72.05,66288,0.0425,0.1789,0.0188,13.02,10.253545653372553,11.101779249890095,0.0,0.43229999999999996
13207,Monroe,GA,2,900.0,900.0,0.0,1.0,0,0,0.75,0,0.0,6.0,0.7316990510619069,28287,71.42,74867,0.0377,0.2856,0.0122,13.02,10.25019296543737,11.223481841898787,0.0,0.42851999999999996
13215,Muscogee,GA,1,0.0,500.0,0.0,,1,0,0.75,46,-0.7212,4.0,0.3803655067026127,204572,944.93,54561,0.073,0.2842,0.0045,13.02,12.228680158982158,10.907092948736992,3.8501476017100584,3.7797199999999997
13217,Newton,GA,3,360.0,360.0,0.6666666666666666,1.0,1,1,0.75,21,3.2,8.0,0.4215508628135002,113298,413.79,70732,0.0661,0.2258,0.0063,13.02,11.637785620851815,11.166667503947462,3.091042453358316,3.3103200000000004
13247,Rockdale,GA,2,342.0,171.0,0.0,1.0,0,0,0.75,10,0.6667,8.0,0.2593224092116917,93641,721.33,68999,0.0604,0.2813,0.0025,13.02,11.447234279770608,11.141861783579396,2.3978952727983707,5.77064
13255,Spalding,GA,4,0.0,500.0,0.0,1.0,0,0,0.75,22,0.2941,5.0,0.580664689145832,67415,344.01,57367,0.0562,0.1832,0.0137,13.02,11.11863765745219,10.957241935562411,3.1354942159291497,1.7200499999999999
13285,Troup,GA,3,1200.0,600.0,0.0,1.0,1,1,0.75,34,3.8571,6.0,0.6194735497061078,69527,167.94,53599,0.0483,0.2031,0.0067,13.02,11.149484828117297,10.889304347058893,3.5553480614894135,1.00764
13289,Twiggs,GA,1,900.0,900.0,0.0,,0,1,0.75,0,0.0,6.0,0.5720377019748654,7955,22.14,50446,0.034,0.1065,0.1025,13.02,8.981681639973862,10.828678559197003,0.0,0.13284
13313,Whitfield,GA,2,337.0,168.5,0.0,1.0,2,0,0.75,0,0.0,6.0,0.7194687154765491,103033,354.74,59659,0.057,0.1858,0.0151,13.02,11.542814309829094,10.99641705806874,0.0,2.12844
17063,Grundy,IL,2,1500.0,750.0,0.0,,0,0,0.75,0,0.0,8.0,0.6404536719544821,52624,125.86,89993,0.0415,0.2569,0.0185,13.85,10.870946570984682,11.407498280423415,0.0,1.00688
17107,Logan,IL,1,500.0,500.0,0.0,,0,1,0.75,0,0.0,3.0,0.6974910394265234,28027,45.35,62547,0.0518,0.2018,0.0499,13.85,10.240959289490425,11.0436895409634,0.0,0.13605
17119,Madison,IL,1,500.0,500.0,0.0,,0,1,0.75,225,8.0,6.0,0.5575079751732668,265512,371.09,71759,0.0524,0.2936,0.0082,13.85,12.489419082683877,11.181082496732678,5.420534999272286,2.22654
17167,Sangamon,IL,1,632.0,632.0,0.0,,0,1,0.75,170,-0.2308,3.0,0.515746876422682,196122,225.88,71653,0.0522,0.3457,0.0153,13.85,12.186497292405264,11.17960425863455,5.14166355650266,0.67764
17197,Will,IL,1,350.0,350.0,0.0,,0,0,0.75,174,0.9773,8.0,0.4851879090749636,696774,833.59,103678,0.0501,0.3608,0.0044,13.85,13.454217825575984,11.54905486647786,5.1647859739235145,6.66872
18003,Allen,IN,1,0.0,500.0,1.0,1.0,0,1,0.75,101,0.8704,3.0,0.5539548039931524,385456,586.42,66222,0.0482,0.3048,0.0046,13.59,12.862184922314023,11.100783113608738,4.624972813284271,1.7592599999999998
18011,Boone,IN,1,1000.0,1000.0,1.0,1.0,0,0,0.75,69,10.5,6.0,0.5701163197044581,71235,168.45,103038,0.0309,0.495,0.0153,13.59,11.173753587595897,11.542862836322143,4.248495242049359,1.0107
18019,Clark,IN,1,0.0,500.0,1.0,1.0,0,0,0.75,36,0.0,2.0,0.5930339764384497,121484,325.84,69005,0.0372,0.246,0.0034,13.59,11.7075460773512,11.141948736320636,3.6109179126442243,0.6516799999999999
18023,Clinton,IN,1,300.0,300.0,0.0,0.0,0,0,0.75,0,0.0,5.0,0.7319778188539742,33020,81.52,59515,0.0343,0.1632,0.0272,13.59,10.4048990016915,10.994000462947588,0.0,0.40759999999999996
18031,Decatur,IN,1,0.0,500.0,0.0,,0,1,0.75,0,0.0,7.0,0.7836677400710098,26432,70.95,71566,0.0313,0.2045,0.0527,13.59,10.18236850853484,11.17838935284977,0.0,0.49665000000000004
18085,Kosciusko,IN,1,0.0,500.0,0.0,0.0,0,1,0.75,5,0.0,4.0,0.7520585281882083,80442,151.36,70945,0.0329,0.2413,0.0219,13.59,11.295304138069321,11.169674303268108,1.791759469228055,0.6054400000000001
18089,Lake,IN,2,2580.0,1290.0,0.5,1.0,0,1,0.75,63,0.9688,9.0,0.4645021417622142,497682,997.9,66375,0.0669,0.2445,0.0036,13.59,13.117718607140514,11.103090824344122,4.1588830833596715,8.9811
18127,Porter,IN,1,0.0,500.0,0.0,0.0,0,1,0.75,170,0.0494,9.0,0.5432449309000082,173355,414.62,82915,0.0424,0.2991,0.0072,13.59,12.06310256257072,11.325583326119402,5.14166355650266,3.73158
