draw_id,month,fips,builds
0,1,13247,1
0,2,13247,1
0,2,51107,1
0,2,51113,1
0,3,13247,1
0,3,51107,1
0,3,51113,1
0,3,51775,1
0,4,13247,1
0,4,51107,1
0,4,51113,1
0,4,51775,1
0,4,48479,1
0,4,48123,1
0,4,48249,1
0,5,13247,1
0,5,51107,1
0,5,51113,1
0,5,51775,1
0,5,48479,1
0,5,48123,1
0,5,48249,1
0,6,13247,1
0,6,51107,1
0,6,51113,1
0,6,51775,1
0,6,48479,1
0,6,48123,1
0,6,48249,1
0,6,51031,1
0,6,51105,1
0,7,13247,1
0,7,51107,1
0,7,51113,1
0,7,51775,1
0,7,48479,1
0,7,48123,1
0,7,48249,1
0,7,51031,1
0,7,51105,1
0,7,51033,1
0,8,13247,1
0,8,51107,1
0,8,51113,1
0,8,51775,1
0,8,48479,1
0,8,48123,1
0,8,48249,1
0,8,51031,1
0,8,51105,1
0,8,51033,1
0,8,51121,1
0,8,13297,1
0,8,51630,1
0,9,13247,1
0,9,51107,1
0,9,51113,1
0,9,51775,1
0,9,48479,1
0,9,48123,1
0,9,48249,1
0,9,51031,1
0,9,51105,1
0,9,51033,1
0,9,51121,1
0,9,13297,1
0,9,51630,1
0,9,51035,1
0,9,51027,1
0,9,36093,1
0,10,13247,1
0,10,51107,1
0,10,51113,1
0,10,51775,1
0,10,48479,1
0,10,48123,1
0,10,48249,1
0,10,51031,1
0,10,51105,1
0,10,51033,1
0,10,51121,1
0,10,13297,1
0,10,51630,1
0,10,51035,1
0,10,51027,1
0,10,36093,1
0,10,48475,1
0,10,48039,1
0,11,13247,1
0,11,51107,1
0,11,51113,1
0,11,51775,1
0,11,48479,1
0,11,48123,1
0,11,48249,1
0,11,51031,2
0,11,51105,1
0,11,51033,1
0,11,51121,1
0,11,13297,1
0,11,51630,1
0,11,51035,1
0,11,51027,1
0,11,36093,1
0,11,48475,1
0,11,48039,1
0,11,41007,1
0,12,13247,1
0,12,51107,1
0,12,51113,1
0,12,51775,1
0,12,48479,1
0,12,48123,1
0,12,48249,1
0,12,51031,2
0,12,51105,1
0,12,51033,1
0,12,51121,1
0,12,13297,1
0,12,51630,1
0,12,51035,1
0,12,51027,1
0,12,36093,1
0,12,48475,1
0,12,48039,1
0,12,41007,1
0,12,51620,1
0,12,53003,1
0,13,13247,1
0,13,51107,1
0,13,51113,1
0,13,51775,1
0,13,48479,1
0,13,48123,1
0,13,48249,1
0,13,51031,2
0,13,51105,1
0,13,51033,1
0,13,51121,1
0,13,13297,1
0,13,51630,1
0,13,51035,1
0,13,51027,1
0,13,36093,1
0,13,48475,1
0,13,48039,1
0,13,41007,1
0,13,51620,1
0,13,53003,1
0,13,51540,1
0,14,13247,1
0,14,51107,1
0,14,51113,1
0,14,51775,1
0,14,48479,1
0,14,48123,1
0,14,48249,1
0,14,51031,2
0,14,51105,1
0,14,51033,1
0,14,51121,1
0,14,13297,1
0,14,51630,1
0,14,51035,1
0,14,51027,1
0,14,36093,1
0,14,48475,1
0,14,48039,1
0,14,41007,1
0,14,51620,1
0,14,53003,1
0,14,51540,1
0,15,13247,1
0,15,51107,1
0,15,51113,1
0,15,51775,1
0,15,48479,1
0,15,48123,1
0,15,48249,1
0,15,51031,2
0,15,51105,1
0,15,51033,1
0,15,51121,1
0,15,13297,1
0,15,51630,1
0,15,51035,1
0,15,51027,1
0,15,36093,1
0,15,48475,1
0,15,48039,1
0,15,41007,1
0,15,51620,1
0,15,53003,1
0,15,51540,1
0,15,49039,1
0,16,13247,1
0,16,51107,1
0,16,51113,1
0,16,51775,1
0,16,48479,1
0,16,48123,1
0,16,48249,1
0,16,51031,2
0,16,51105,1
0,16,51033,1
0,16,51121,1
0,16,13297,1
0,16,51630,1
0,16,51035,1
0,16,51027,1
0,16,36093,1
0,16,48475,1
0,16,48039,1
0,16,41007,1
0,16,51620,1
0,16,53003,1
0,16,51540,1
0,16,49039,1
0,16,46099,1
0,17,13247,2
0,17,51107,1
0,17,51113,1
0,17,51775,1
0,17,48479,1
0,17,48123,1
0,17,48249,1
0,17,51031,2
0,17,51105,1
0,17,51033,1
0,17,51121,2
0,17,13297,1
0,17,51630,1
0,17,51035,1
0,17,51027,1
0,17,36093,1
0,17,48475,1
0,17,48039,1
0,17,41007,1
0,17,51620,1
0,17,53003,1
0,17,51540,1
0,17,49039,1
0,17,46099,1
0,18,13247,2
0,18,51107,1
0,18,51113,1
0,18,51775,1
0,18,48479,1
0,18,48123,1
0,18,48249,1
0,18,51031,2
0,18,51105,1
0,18,51033,1
0,18,51121,2
0,18,13297,1
0,18,51630,1
0,18,51035,1
0,18,51027,1
0,18,36093,1
0,18,48475,1
0,18,48039,1
0,18,41007,1
0,18,51620,1
0,18,53003,1
0,18,51540,1
0,18,49039,1
0,18,46099,1
0,18,51115,1
0,18,51810,1
0,19,13247,2
0,19,51107,1
0,19,51113,1
0,19,51775,1
0,19,48479,1
0,19,48123,1
0,19,48249,1
0,19,51031,2
0,19,51105,1
0,19,51033,1
0,19,51121,2
0,19,13297,1
0,19,51630,1
0,19,51035,1
0,19,51027,1
0,19,36093,1
0,19,48475,1
0,19,48039,1
0,19,41007,1
0,19,51620,1
0,19,53003,1
0,19,51540,1
0,19,49039,1
0,19,46099,1
0,19,51115,1
0,19,51810,1
0,19,13047,1
0,20,13247,2
0,20,51107,1
0,20,51113,2
0,20,51775,1
0,20,48479,1
0,20,48123,1
0,20,48249,1
0,20,51031,2
0,20,51105,1
0,20,51033,1
0,20,51121,2
0,20,13297,1
0,20,51630,1
0,20,51035,1
0,20,51027,1
0,20,36093,1
0,20,48475,1
0,20,48039,1
0,20,41007,1
0,20,51620,1
0,20,53003,1
0,20,51540,2
0,20,49039,1
0,20,46099,1
0,20,51115,1
0,20,51810,1
0,20,13047,1
0,20,51145,1
0,20,51550,1
0,21,13247,2
0,21,51107,1
0,21,51113,2
0,21,51775,1
0,21,48479,1
0,21,48123,1
0,21,48249,1
0,21,51031,2
0,21,51105,1
0,21,51033,1
0,21,51121,2
0,21,13297,1
0,21,51630,1
0,21,51035,1
0,21,51027,1
0,21,36093,1
0,21,48475,1
0,21,48039,1
0,21,41007,1
0,21,51620,1
0,21,53003,1
0,21,51540,2
0,21,49039,1
0,21,46099,1
0,21,51115,1
0,21,51810,1
0,21,13047,1
0,21,51145,1
0,21,51550,1
0,21,13105,1
0,21,13207,1
0,22,13247,2
0,22,51107,1
0,22,51113,2
0,22,51775,1
0,22,48479,1
0,22,48123,1
0,22,48249,1
0,22,51031,2
0,22,51105,1
0,22,51033,1
0,22,51121,2
0,22,13297,1
0,22,51630,1
0,22,51035,1
0,22,51027,1
0,22,36093,1
0,22,48475,1
0,22,48039,1
0,22,41007,1
0,22,51620,1
0,22,53003,1
0,22,51540,2
0,22,49039,1
0,22,46099,1
0,22,51115,1
0,22,51810,1
0,22,13047,1
0,22,51145,1
0,22,51550,1
0,22,13105,1
0,22,13207,1
0,22,55139,1
0,22,48145,1
0,23,13247,2
0,23,51107,1
0,23,51113,2
0,23,51775,1
0,23,48479,1
0,23,48123,1
0,23,48249,1
0,23,51031,2
0,23,51105,1
0,23,51033,1
0,23,51121,2
0,23,13297,1
0,23,51630,1
0,23,51035,1
0,23,51027,1
0,23,36093,1
0,23,48475,1
0,23,48039,1
0,23,41007,1
0,23,51620,1
0,23,53003,1
0,23,51540,2
0,23,49039,1
0,23,46099,1
0,23,51115,1
0,23,51810,1
0,23,13047,1
0,23,51145,1
0,23,51550,1
0,23,13105,1
0,23,13207,1
0,23,55139,1
0,23,48145,1
0,23,51830,1
0,23,51680,1
0,24,13247,2
0,24,51107,1
0,24,51113,2
0,24,51775,1
0,24,48479,1
0,24,48123,1
0,24,48249,1
0,24,51031,2
0,24,51105,1
0,24,51033,1
0,24,51121,2
0,24,13297,1
0,24,51630,1
0,24,51035,1
0,24,51027,1
0,24,36093,1
0,24,48475,1
0,24,48039,2
0,24,41007,1
0,24,51620,1
0,24,53003,1
0,24,51540,2
0,24,49039,1
0,24,46099,1
0,24,51115,1
0,24,51810,1
0,24,13047,1
0,24,51145,1
0,24,51550,1
0,24,13105,1
0,24,13207,1
0,24,55139,1
0,24,48145,1
0,24,51830,1
0,24,51680,1
0,24,37159,1
0,25,13247,2
0,25,51107,1
0,25,51113,2
0,25,51775,1
0,25,48479,1
0,25,48123,1
0,25,48249,1
0,25,51031,2
0,25,51105,1
0,25,51033,1
0,25,51121,2
0,25,13297,1
0,25,51630,1
0,25,51035,1
0,25,51027,1
0,25,36093,1
0,25,48475,1
0,25,48039,2
0,25,41007,1
0,25,51620,1
0,25,53003,1
0,25,51540,2
0,25,49039,1
0,25,46099,1
0,25,51115,1
0,25,51810,1
0,25,13047,1
0,25,51145,1
0,25,51550,1
0,25,13105,1
0,25,13207,1
0,25,55139,1
0,25,48145,1
0,25,51830,1
0,25,51680,1
0,25,37159,1
0,25,51097,1
0,25,13197,1
0,26,13247,2
0,26,51107,1
0,26,51113,2
0,26,51775,1
0,26,48479,1
0,26,48123,1
0,26,48249,1
0,26,51031,2
0,26,51105,1
0,26,51033,1
0,26,51121,2
0,26,13297,1
0,26,51630,1
0,26,51035,1
0,26,51027,1
0,26,36093,1
0,26,48475,1
0,26,48039,2
0,26,41007,1
0,26,51620,1
0,26,53003,1
0,26,51540,2
0,26,49039,1
0,26,46099,1
0,26,51115,1
0,26,51810,1
0,26,13047,1
0,26,51145,1
0,26,51550,1
0,26,13105,1
0,26,13207,1
0,26,55139,1
0,26,48145,1
0,26,51830,1
0,26,51680,1
0,26,37159,1
0,26,51097,1
0,26,13197,1
0,26,51820,2
0,26,40145,1
0,26,47137,1
0,27,13247,2
0,27,51107,1
0,27,51113,2
0,27,51775,1
0,27,48479,1
0,27,48123,1
0,27,48249,1
0,27,51031,2
0,27,51105,1
0,27,51033,1
0,27,51121,2
0,27,13297,1
0,27,51630,1
0,27,51035,1
0,27,51027,1
0,27,36093,1
0,27,48475,1
0,27,48039,2
0,27,41007,1
0,27,51620,1
0,27,53003,1
0,27,51540,2
0,27,49039,1
0,27,46099,1
0,27,51115,1
0,27,51810,1
0,27,13047,1
0,27,51145,1
0,27,51550,1
0,27,13105,1
0,27,13207,1
0,27,55139,1
0,27,48145,1
0,27,51830,1
0,27,51680,1
0,27,37159,1
0,27,51097,1
0,27,13197,1
0,27,51820,2
0,27,40145,1
0,27,47137,1
0,27,08067,1
0,28,13247,2
0,28,51107,1
0,28,51113,2
0,28,51775,1
0,28,48479,1
0,28,48123,1
0,28,48249,1
0,28,51031,2
0,28,51105,1
0,28,51033,1
0,28,51121,2
0,28,13297,1
0,28,51630,1
0,28,51035,1
0,28,51027,1
0,28,36093,1
0,28,48475,1
0,28,48039,2
0,28,41007,1
0,28,51620,1
0,28,53003,1
0,28,51540,2
0,28,49039,1
0,28,46099,1
0,28,51115,1
0,28,51810,1
0,28,13047,1
0,28,51145,1
0,28,51550,1
0,28,13105,1
0,28,13207,1
0,28,55139,1
0,28,48145,1
0,28,51830,1
0,28,51680,1
0,28,37159,1
0,28,51097,1
0,28,13197,1
0,28,51820,2
0,28,40145,1
0,28,47137,1
0,28,08067,1
0,29,13247,2
0,29,51107,1
0,29,51113,2
0,29,51775,1
0,29,48479,1
0,29,48123,1
0,29,48249,1
0,29,51031,2
0,29,51105,1
0,29,51033,1
0,29,51121,2
0,29,13297,1
0,29,51630,1
0,29,51035,1
0,29,51027,1
0,29,36093,1
0,29,48475,1
0,29,48039,2
0,29,41007,1
0,29,51620,1
0,29,53003,1
0,29,51540,2
0,29,49039,1
0,29,46099,1
0,29,51115,1
0,29,51810,1
0,29,13047,1
0,29,51145,1
0,29,51550,1
0,29,13105,1
0,29,13207,1
0,29,55139,1
0,29,48145,1
0,29,51830,1
0,29,51680,1
0,29,37159,1
0,29,51097,1
0,29,13197,1
0,29,51820,2
0,29,40145,1
0,29,47137,1
0,29,08067,1
0,29,17073,1
0,30,13247,2
0,30,51107,1
0,30,51113,2
0,30,51775,1
0,30,48479,1
0,30,48123,1
0,30,48249,1
0,30,51031,2
0,30,51105,1
0,30,51033,1
0,30,51121,2
0,30,13297,1
0,30,51630,1
0,30,51035,1
0,30,51027,1
0,30,36093,1
0,30,48475,1
0,30,48039,2
0,30,41007,1
0,30,51620,1
0,30,53003,1
0,30,51540,2
0,30,49039,1
0,30,46099,1
0,30,51115,1
0,30,51810,1
0,30,13047,1
0,30,51145,1
0,30,51550,1
0,30,13105,1
0,30,13207,1
0,30,55139,1
0,30,48145,1
0,30,51830,1
0,30,51680,1
0,30,37159,1
0,30,51097,1
0,30,13197,1
0,30,51820,2
0,30,40145,1
0,30,47137,1
0,30,08067,1
0,30,17073,1
0,30,51177,1
0,30,51099,1
0,30,28143,1
0,31,13247,2
0,31,51107,1
0,31,51113,2
0,31,51775,1
0,31,48479,1
0,31,48123,1
0,31,48249,1
0,31,51031,2
0,31,51105,1
0,31,51033,1
0,31,51121,2
0,31,13297,1
0,31,51630,1
0,31,51035,1
0,31,51027,1
0,31,36093,1
0,31,48475,1
0,31,48039,2
0,31,41007,1
0,31,51620,1
0,31,53003,1
0,31,51540,2
0,31,49039,1
0,31,46099,1
0,31,51115,1
0,31,51810,1
0,31,13047,1
0,31,51145,1
0,31,51550,1
0,31,13105,1
0,31,13207,1
0,31,55139,1
0,31,48145,1
0,31,51830,1
0,31,51680,1
0,31,37159,1
0,31,51097,1
0,31,13197,1
0,31,51820,2
0,31,40145,1
0,31,47137,1
0,31,08067,1
0,31,17073,1
0,31,51177,1
0,31,51099,1
0,31,28143,1
0,31,13205,1
0,32,13247,2
0,32,51107,1
0,32,51113,2
0,32,51775,1
0,32,48479,1
0,32,48123,1
0,32,48249,1
0,32,51031,2
0,32,51105,1
0,32,51033,1
0,32,51121,2
0,32,13297,1
0,32,51630,1
0,32,51035,1
0,32,51027,1
0,32,36093,1
0,32,48475,1
0,32,48039,2
0,32,41007,1
0,32,51620,1
0,32,53003,1
0,32,51540,2
0,32,49039,1
0,32,46099,1
0,32,51115,1
0,32,51810,1
0,32,13047,1
0,32,51145,1
0,32,51550,1
0,32,13105,1
0,32,13207,1
0,32,55139,1
0,32,48145,1
0,32,51830,1
0,32,51680,1
0,32,37159,1
0,32,51097,1
0,32,13197,1
0,32,51820,2
0,32,40145,1
0,32,47137,1
0,32,08067,1
0,32,17073,1
0,32,51177,1
0,32,51099,1
0,32,28143,1
0,32,13205,1
0,32,51087,1
0,32,48401,1
0,32,13267,1
0,33,13247,2
0,33,51107,1
0,33,51113,2
0,33,51775,1
0,33,48479,1
0,33,48123,1
0,33,48249,1
0,33,51031,2
0,33,51105,2
0,33,51033,1
0,33,51121,2
0,33,13297,1
0,33,51630,1
0,33,51035,1
0,33,51027,1
0,33,36093,1
0,33,48475,1
0,33,48039,2
0,33,41007,1
0,33,51620,1
0,33,53003,1
0,33,51540,2
0,33,49039,1
0,33,46099,1
0,33,51115,1
0,33,51810,1
0,33,13047,1
0,33,51145,1
0,33,51550,1
0,33,13105,1
0,33,13207,1
0,33,55139,1
0,33,48145,1
0,33,51830,1
0,33,51680,1
0,33,37159,1
0,33,51097,1
0,33,13197,1
0,33,51820,2
0,33,40145,1
0,33,47137,1
0,33,08067,1
0,33,17073,1
0,33,51177,1
0,33,51099,1
0,33,28143,1
0,33,13205,1
0,33,51087,1
0,33,48401,1
0,33,13267,1
0,33,13029,1
0,34,13247,2
0,34,51107,1
0,34,51113,2
0,34,51775,1
0,34,48479,1
0,34,48123,1
0,34,48249,1
0,34,51031,2
0,34,51105,2
0,34,51033,1
0,34,51121,2
0,34,13297,1
0,34,51630,1
0,34,51035,1
0,34,51027,1
0,34,36093,1
0,34,48475,1
0,34,48039,2
0,34,41007,1
0,34,51620,1
0,34,53003,1
0,34,51540,2
0,34,49039,1
0,34,46099,1
0,34,51115,1
0,34,51810,1
0,34,13047,1
0,34,51145,1
0,34,51550,1
0,34,13105,1
0,34,13207,1
0,34,55139,1
0,34,48145,1
0,34,51830,1
0,34,51680,1
0,34,37159,1
0,34,51097,1
0,34,13197,1
0,34,51820,2
0,34,40145,1
0,34,47137,1
0,34,08067,1
0,34,17073,1
0,34,51177,1
0,34,51099,1
0,34,28143,1
0,34,13205,1
0,34,51087,1
0,34,48401,1
0,34,13267,1
0,34,13029,1
0,34,51053,1
0,34,48457,1
0,35,13247,2
0,35,51107,1
0,35,51113,2
0,35,51775,1
0,35,48479,1
0,35,48123,1
0,35,48249,1
0,35,51031,2
0,35,51105,2
0,35,51033,2
0,35,51121,2
0,35,13297,1
0,35,51630,1
0,35,51035,1
0,35,51027,1
0,35,36093,1
0,35,48475,1
0,35,48039,2
0,35,41007,1
0,35,51620,1
0,35,53003,1
0,35,51540,2
0,35,49039,1
0,35,46099,1
0,35,51115,1
0,35,51810,1
0,35,13047,1
0,35,51145,1
0,35,51550,1
0,35,13105,1
0,35,13207,1
0,35,55139,1
0,35,48145,1
0,35,51830,1
0,35,51680,1
0,35,37159,1
0,35,51097,1
0,35,13197,1
0,35,51820,2
0,35,40145,1
0,35,47137,1
0,35,08067,1
0,35,17073,1
0,35,51177,1
0,35,51099,1
0,35,28143,1
0,35,13205,1
0,35,51087,1
0,35,48401,1
0,35,13267,1
0,35,13029,1
0,35,51053,1
0,35,48457,1
0,35,35013,1
0,35,51197,1
0,36,13247,2
0,36,51107,1
0,36,51113,2
0,36,51775,1
0,36,48479,1
0,36,48123,1
0,36,48249,1
0,36,51031,2
0,36,51105,2
0,36,51033,2
0,36,51121,2
0,36,13297,1
0,36,51630,1
0,36,51035,1
0,36,51027,1
0,36,36093,1
0,36,48475,1
0,36,48039,2
0,36,41007,1
0,36,51620,1
0,36,53003,1
0,36,51540,2
0,36,49039,1
0,36,46099,1
0,36,51115,1
0,36,51810,1
0,36,13047,1
0,36,51145,1
0,36,51550,1
0,36,13105,1
0,36,13207,1
0,36,55139,1
0,36,48145,1
0,36,51830,1
0,36,51680,1
0,36,37159,1
0,36,51097,1
0,36,13197,1
0,36,51820,2
0,36,40145,1
0,36,47137,1
0,36,08067,1
0,36,17073,1
0,36,51177,1
0,36,51099,1
0,36,28143,1
0,36,13205,1
0,36,51087,1
0,36,48401,1
0,36,13267,1
0,36,13029,1
0,36,51053,1
0,36,48457,1
0,36,35013,1
0,36,51197,1
0,36,01069,1
0,36,48483,1
0,37,13247,2
0,37,51107,1
0,37,51113,2
0,37,51775,1
0,37,48479,1
0,37,48123,1
0,37,48249,1
0,37,51031,2
0,37,51105,2
0,37,51033,2
0,37,51121,2
0,37,13297,1
0,37,51630,1
0,37,51035,1
0,37,51027,1
0,37,36093,1
0,37,48475,1
0,37,48039,2
0,37,41007,1
0,37,51620,1
0,37,53003,1
0,37,51540,2
0,37,49039,1
0,37,46099,1
0,37,51115,1
0,37,51810,1
0,37,13047,1
0,37,51145,2
0,37,51550,1
0,37,13105,1
0,37,13207,1
0,37,55139,1
0,37,48145,1
0,37,51830,1
0,37,51680,1
0,37,37159,1
0,37,51097,1
0,37,13197,1
0,37,51820,2
0,37,40145,1
0,37,47137,1
0,37,08067,1
0,37,17073,1
0,37,51177,1
0,37,51099,1
