month,year,calendar_month,mean_total_built,p2_5_total_built,p97_5_total_built,mean_cumulative_gw,p2_5_cumulative_gw,p97_5_cumulative_gw,mean_gini,mean_firm_cost_m
1,2026,1,1.7,0.0,3.0,0.5099999999999999,0.0,0.8999999999999999,0.9494608309546462,0.0
2,2026,2,3.47,1.0,6.0,1.0410000000000001,0.3,1.8,0.9788994608309548,0.0
3,2026,3,5.26,2.0,8.524999999999991,1.5780000000000003,0.6,2.5574999999999974,0.9983475349755082,0.0
4,2026,4,7.12,3.0,11.0,2.1359999999999997,0.8999999999999999,3.2999999999999994,0.9977732963727256,0.0
5,2026,5,8.96,4.0,13.0,2.6879999999999997,1.2,3.899999999999999,0.9972198022226564,0.0
6,2026,6,10.85,6.0,15.524999999999991,3.255,1.8,4.657499999999996,0.9966451025099932,0.0
7,2026,7,12.52,6.475,17.52499999999999,3.756,1.9425000000000001,5.257499999999996,0.996138478127802,0.0
8,2026,8,14.37,8.0,20.0,4.310999999999999,2.4,5.999999999999998,0.9955749456784185,0.0
9,2026,9,16.33,10.0,22.52499999999999,4.898999999999998,2.9999999999999996,6.757499999999995,0.9950012522444335,0.0
10,2026,10,18.2,11.475,24.52499999999999,5.459999999999997,3.4424999999999994,7.357499999999995,0.9944717868998569,0.0
11,2026,11,19.87,13.0,26.52499999999999,5.960999999999998,3.899999999999999,7.957499999999995,0.9939915636118408,0.0
12,2026,12,21.75,14.475,29.049999999999983,6.524999999999997,4.342499999999999,8.714999999999995,0.9934441510381845,0.0
13,2027,1,23.49,16.0,31.52499999999999,7.046999999999998,4.799999999999999,9.457499999999998,0.9929932741600592,0.0
14,2027,2,25.36,17.0,33.52499999999999,7.6080000000000005,5.099999999999999,10.0575,0.9924709955931964,0.0
15,2027,3,27.22,18.475,35.52499999999999,8.165999999999999,5.542499999999999,10.6575,0.9919757216237186,0.0
16,2027,4,28.98,20.0,36.52499999999999,8.693999999999999,5.999999999999998,10.957500000000001,0.9914809109247926,0.0
17,2027,5,30.75,21.475,39.0,9.225000000000001,6.442499999999998,11.700000000000006,0.9910058248918477,0.0
18,2027,6,32.85,23.475,41.0,9.855,7.042499999999998,12.300000000000008,0.9904271473032366,0.0
19,2027,7,34.6,25.0,43.04999999999998,10.380000000000003,7.499999999999997,12.915000000000004,0.9899855220726674,0.0
20,2027,8,36.49,26.475,44.52499999999999,10.947000000000005,7.942499999999997,13.357500000000007,0.9894797892690744,0.0
21,2027,9,38.3,28.475,46.52499999999999,11.490000000000007,8.542499999999999,13.957500000000008,0.9889600341423488,0.0
22,2027,10,40.16,29.475,48.52499999999999,12.048000000000007,8.8425,14.55750000000001,0.9884859540413238,0.0
23,2027,11,42.19,31.0,51.52499999999999,12.657000000000007,9.3,15.457500000000012,0.987993082516927,0.0
24,2027,12,43.92,33.0,53.52499999999999,13.176000000000009,9.900000000000002,16.057500000000015,0.9875151073013808,0.0
25,2028,1,45.82,35.475,56.52499999999999,13.746000000000011,10.642500000000004,16.957500000000017,0.9870394922855941,0.0
26,2028,2,47.6,37.0,58.52499999999999,14.280000000000012,11.100000000000005,17.55750000000002,0.9866176319698293,0.0
27,2028,3,49.38,38.0,60.0,14.814000000000016,11.400000000000006,18.00000000000002,0.9861785670912289,0.0
28,2028,4,51.16,39.475,62.52499999999999,15.348000000000013,11.842500000000006,18.75750000000002,0.9857579819361749,0.0
29,2028,5,53.02,40.475,64.52499999999999,15.906000000000015,12.142500000000007,19.357500000000023,0.9853042101737983,0.0
30,2028,6,54.85,42.475,66.52499999999999,16.455000000000016,12.742500000000009,19.957500000000024,0.9848388001520343,0.0
31,2028,7,56.7,43.475,67.0,17.01000000000002,13.04250000000001,20.100000000000026,0.9843888773694391,0.0
32,2028,8,58.39,44.0,69.52499999999999,17.517000000000024,13.20000000000001,20.857500000000027,0.9839879081656713,0.0
33,2028,9,60.19,47.0,71.0,18.05700000000002,14.100000000000012,21.30000000000003,0.9835403647541274,0.0
34,2028,10,61.95,48.0,73.0,18.585000000000022,14.400000000000013,21.90000000000003,0.983127337821143,0.0
35,2028,11,63.7,49.475,75.52499999999999,19.110000000000024,14.842500000000014,22.65750000000003,0.9827230453973695,0.0
36,2028,12,65.74,51.0,77.04999999999998,19.722000000000026,15.300000000000015,23.115000000000027,0.9823261010772317,0.0
37,2029,1,67.58,52.0,79.0,20.27400000000003,15.600000000000016,23.700000000000035,0.9818591705583174,0.0
38,2029,2,69.44,53.0,82.0,20.832000000000026,15.900000000000016,24.600000000000037,0.9814729867702564,0.0
39,2029,3,71.25,55.475,83.52499999999999,21.37500000000003,16.64250000000002,25.057500000000037,0.9811022447385777,0.0
40,2029,4,73.04,58.0,86.04999999999998,21.912000000000024,17.40000000000002,25.815000000000033,0.980728324076907,0.0
41,2029,5,75.0,61.475,88.57499999999997,22.50000000000003,18.442500000000024,26.572500000000034,0.980300247371219,0.0
42,2029,6,76.81,63.475,91.52499999999999,23.043000000000035,19.042500000000025,27.457500000000042,0.9798926376067701,0.0
43,2029,7,78.75,64.475,94.0,23.625000000000036,19.342500000000026,28.200000000000045,0.9794751322534205,0.0
44,2029,8,80.55,66.0,95.52499999999999,24.16500000000003,19.800000000000026,28.657500000000045,0.9790867800942802,0.0
45,2029,9,82.51,67.475,98.04999999999998,24.753000000000043,20.242500000000028,29.415000000000042,0.9786329118833567,0.0
46,2029,10,84.45,69.475,99.57499999999997,25.335000000000036,20.84250000000003,29.87250000000004,0.9781925368318517,0.0
