total_built,cumulative_gw,gini_coefficient,community_surplus_m,firm_cost_m,total_rejected,infeasible_rate
154,46.19999999999992,0.9723289713774965,1312602.0599999977,10051.268769444849,16,0.6064814814814815
154,46.19999999999992,0.9713569018992425,1312602.0599999977,11609.775313949447,6,0.6235294117647059
160,47.9999999999999,0.9749365683476054,1363742.399999997,15027.786886168627,10,0.6145124716553289
146,43.79999999999994,0.9753702714092689,1244414.9399999983,9569.271740650893,12,0.6488888888888888
129,38.69999999999999,0.9795420628071703,1099517.3099999996,10379.417048358975,12,0.6544117647058824
138,41.39999999999996,0.9744756546560212,1176227.8199999991,9180.875176476586,9,0.6636155606407322
167,50.09999999999988,0.9715070335067257,1423406.1299999966,14919.951419188039,10,0.5755395683453237
139,41.69999999999996,0.9771851405649981,1184751.209999999,8143.070469312544,11,0.6445497630331753
143,42.89999999999995,0.9765813000827273,1218844.7699999989,10873.38158100622,7,0.6470588235294118
131,39.29999999999998,0.9759032352563777,1116564.0899999996,8422.812805373802,12,0.6587112171837709
133,39.89999999999998,0.9722069207271271,1133610.8699999992,9020.857290219154,15,0.6501182033096927
155,46.499999999999915,0.974195594569432,1321125.4499999976,10879.318196824735,7,0.6124401913875598
146,43.79999999999994,0.9736845535237151,1244414.9399999983,9376.399558656793,12,0.6127450980392157
154,46.19999999999992,0.976200773536644,1312602.0599999977,11073.751222177028,8,0.6115107913669064
137,41.099999999999966,0.9765094533997283,1167704.4299999992,8458.988993342327,13,0.6314496314496314
153,45.89999999999992,0.9687464371518772,1304078.6699999978,9142.310419444848,14,0.6070588235294118
139,41.69999999999996,0.9775547782516136,1184751.209999999,9949.18826071898,9,0.645083932853717
164,49.19999999999989,0.9754627803176223,1397835.9599999967,9326.050456949804,11,0.5772946859903382
142,42.59999999999995,0.9746943443087959,1210321.379999999,10134.867746098837,16,0.6229116945107399
156,46.79999999999991,0.9772581261639302,1329648.8399999975,12123.641980533183,9,0.6126760563380281
151,45.299999999999926,0.9697229381037296,1287031.8899999978,9773.47621744764,6,0.6170731707317073
136,40.79999999999997,0.975131060987668,1159181.039999999,13202.431382492641,12,0.6492890995260664
140,41.99999999999996,0.9742195641339313,1193274.599999999,8675.660276704704,11,0.6404761904761904
157,47.09999999999991,0.9731789156419626,1338172.2299999977,8923.446125926263,11,0.6164383561643836
135,40.49999999999997,0.9756633893646263,1150657.6499999992,8977.865205737236,12,0.6524822695035462
147,44.09999999999994,0.9738700427840021,1252938.3299999984,8625.786101870504,12,0.6168674698795181
127,38.099999999999994,0.9766776298538324,1082470.5299999998,8568.192649117182,13,0.6781609195402298
148,44.399999999999935,0.9750130720635002,1261461.7199999983,12840.924423404638,10,0.6155717761557178
145,43.49999999999994,0.9762656255126481,1235891.5499999984,11680.747052392984,15,0.6163069544364509
154,46.19999999999992,0.9748950700425485,1312602.0599999977,12042.895812592182,12,0.620137299771167
150,44.99999999999993,0.9741198858230256,1278508.499999998,9953.09372649581,7,0.6431818181818182
153,45.89999999999992,0.9764245691933608,1304078.6699999978,10741.318754943713,13,0.6084905660377359
137,41.099999999999966,0.9772178506855942,1167704.4299999992,8259.453086660213,7,0.6712328767123288
145,43.49999999999994,0.9744501678751489,1235891.5499999984,11146.583097190862,7,0.638095238095238
147,44.09999999999994,0.9756349098472246,1252938.3299999984,11443.846139252868,11,0.6308411214953271
144,43.199999999999946,0.9741383867216407,1227368.1599999988,10036.699107781007,13,0.6151960784313726
132,39.59999999999998,0.976799392593874,1125087.4799999995,9539.883778348836,7,0.6666666666666666
132,39.59999999999998,0.9771597997097521,1125087.4799999995,9427.25787044906,7,0.6576354679802956
157,47.09999999999991,0.9741202898462893,1338172.2299999977,9202.81817398823,17,0.5817307692307693
138,41.39999999999996,0.9785435541030627,1176227.8199999991,15529.166001528429,7,0.6480582524271845
141,42.299999999999955,0.9722992624383398,1201797.9899999988,9691.56993406769,10,0.636144578313253
147,44.09999999999994,0.9751214155183163,1252938.3299999984,9069.807031345747,12,0.6196172248803827
132,39.59999999999998,0.974709031321781,1125087.4799999995,8661.96367784536,5,0.6722488038277512
134,40.199999999999974,0.9741397673857164,1142134.259999999,9412.84492588747,9,0.6486486486486487
136,40.79999999999997,0.9713204977519077,1159181.039999999,7639.202548106468,9,0.6555819477434679
121,36.30000000000001,0.9781213222092038,1031330.1900000006,7405.155526722277,13,0.6707616707616708
148,44.399999999999935,0.976140269670241,1261461.7199999983,9734.23592493512,11,0.6267605633802817
154,46.19999999999992,0.9716328707765434,1312602.0599999977,10289.352438618003,20,0.6
156,46.79999999999991,0.9752657216976912,1329648.8399999975,9226.438547551314,10,0.6047619047619047
156,46.79999999999991,0.9738669724397602,1329648.8399999975,10670.049107362023,15,0.5928571428571429
151,45.299999999999926,0.976049300256457,1287031.8899999978,8651.825301320176,13,0.6038647342995169
135,40.49999999999997,0.9762742126839812,1150657.6499999992,8165.954263355854,11,0.6540284360189573
146,43.79999999999994,0.9786548145058631,1244414.9399999983,10194.100624697172,9,0.651685393258427
145,43.49999999999994,0.9738945940921071,1235891.5499999984,10865.798580919398,11,0.6276849642004774
151,45.299999999999926,0.9763139488724077,1287031.8899999978,12538.61228160367,9,0.63718820861678
131,39.29999999999998,0.9763922884542287,1116564.0899999996,7825.082589123175,19,0.6420047732696897
137,41.099999999999966,0.9748472663041339,1167704.4299999992,7666.59964704994,8,0.65311004784689
147,44.09999999999994,0.9758808693156933,1252938.3299999984,9966.26888255395,8,0.6378504672897196
151,45.299999999999926,0.9734910303022666,1287031.8899999978,9903.918413645792,9,0.6261682242990654
144,43.199999999999946,0.9764598090002465,1227368.1599999988,10703.54844577098,6,0.6519721577726219
145,43.49999999999994,0.9727440751555716,1235891.5499999984,10104.40207413038,7,0.6415094339622641
127,38.099999999999994,0.9777864351161623,1082470.5299999998,7077.470030715969,13,0.654320987654321
160,47.9999999999999,0.9774817633999366,1363742.399999997,12919.26805685414,11,0.5947867298578199
160,47.9999999999999,0.9727600697748175,1363742.399999997,11205.90883861823,6,0.6121495327102804
154,46.19999999999992,0.9730168341015153,1312602.0599999977,12571.372192161472,11,0.6071428571428571
127,38.099999999999994,0.972796811435678,1082470.5299999998,7337.063325522534,6,0.6732186732186732
142,42.59999999999995,0.9743682520112746,1210321.379999999,7329.404931595804,15,0.6252983293556086
132,39.59999999999998,0.9763957366240905,1125087.4799999995,9288.11725128387,9,0.6585956416464891
125,37.5,0.9760253726609578,1065423.75,6269.15439166955,11,0.6690997566909975
126,37.8,0.9769582005547752,1073947.1400000001,8745.29790741994,10,0.6738609112709832
168,50.39999999999988,0.9738419947744401,1431929.5199999965,12029.622160305518,12,0.5704057279236276
143,42.89999999999995,0.9763595110883407,1218844.7699999989,14078.261496744177,12,0.6412037037037037
140,41.99999999999996,0.9743011191155815,1193274.599999999,9104.218719324228,11,0.6271604938271605
137,41.099999999999966,0.9766853952092898,1167704.4299999992,8875.599910508743,13,0.6437054631828979
145,43.49999999999994,0.9732340299878603,1235891.5499999984,8529.760473276401,14,0.6319444444444444
146,43.79999999999994,0.9745491356351201,1244414.9399999983,12844.939697250855,14,0.6208530805687204
143,42.89999999999995,0.9767055019195836,1218844.7699999989,9823.379037859424,12,0.6493212669683258
140,41.99999999999996,0.9752163472429884,1193274.599999999,10429.461605769427,8,0.6318407960199005
147,44.09999999999994,0.9748970314418186,1252938.3299999984,9451.874025737232,10,0.6244019138755981
142,42.59999999999995,0.976168460174303,1210321.379999999,8515.974424949181,8,0.6305418719211823
169,50.699999999999875,0.9738335050491971,1440452.9099999967,11786.454262204586,10,0.5686746987951807
152,45.59999999999992,0.9731500492429932,1295555.279999998,13463.091923900143,7,0.6394557823129252
150,44.99999999999993,0.972115445607358,1278508.499999998,11226.571662957715,12,0.6161137440758294
147,44.09999999999994,0.9753026488108723,1252938.3299999984,10418.692429620649,14,0.6063569682151589
150,44.99999999999993,0.9714726715297599,1278508.499999998,13607.989873483775,9,0.6131386861313869
153,45.89999999999992,0.9706410950044464,1304078.6699999978,9953.587028538555,7,0.6181384248210023
143,42.89999999999995,0.9731302633300729,1218844.7699999989,13293.99344504833,9,0.6292682926829268
132,39.59999999999998,0.9780391930724948,1125087.4799999995,8806.525302116232,6,0.6650485436893204
133,39.89999999999998,0.9779730010087062,1133610.8699999992,9210.623905059065,9,0.6619047619047619
162,48.599999999999895,0.9722506098444359,1380789.1799999971,11955.797745604932,11,0.5929411764705882
