month,year,calendar_month,mean_total_built,p2_5_total_built,p97_5_total_built,mean_cumulative_gw,p2_5_cumulative_gw,p97_5_cumulative_gw,mean_gini,mean_firm_cost_m
1,2026,1,0.99,0.0,3.0,0.297,0.0,0.8999999999999999,0.6996860133206468,57.43005099780473
2,2026,2,2.21,0.0,4.5249999999999915,0.6629999999999999,0.0,1.3574999999999975,0.8893033090178666,143.47787375499507
3,2026,3,3.53,1.0,7.0,1.0590000000000002,0.3,2.1,0.9888935405433976,223.69444803398753
4,2026,4,4.82,1.0,9.049999999999983,1.4460000000000002,0.3,2.7149999999999945,0.9985015631371482,303.2333893513423
5,2026,5,6.2,2.475,10.0,1.86,0.7424999999999999,2.9999999999999996,0.9980761985310032,380.95176722184164
6,2026,6,7.34,3.0,12.0,2.202,0.8999999999999999,3.599999999999999,0.9977372860955164,465.5301539295486
7,2026,7,8.56,4.0,13.524999999999991,2.568,1.2,4.0574999999999966,0.9973959897979877,547.2877228743316
8,2026,8,9.78,5.0,15.524999999999991,2.9339999999999997,1.5,4.657499999999996,0.9970486649675516,621.9263965207422
9,2026,9,10.95,5.0,17.52499999999999,3.285,1.5,5.257499999999996,0.9967077642413593,687.7487748101767
10,2026,10,12.34,6.475,18.52499999999999,3.7019999999999995,1.9425000000000001,5.557499999999996,0.9963264558435122,769.3297100533708
11,2026,11,13.54,7.475,20.0,4.061999999999999,2.2425,5.999999999999998,0.9960052583980908,847.5287538723529
12,2026,12,14.9,8.0,21.52499999999999,4.47,2.4,6.457499999999995,0.9956102424760622,926.2856655513453
13,2027,1,16.16,9.0,23.0,4.847999999999999,2.6999999999999997,6.899999999999998,0.9952641588763952,1004.3147666044985
14,2027,2,17.4,9.475,26.049999999999983,5.219999999999999,2.8425,7.814999999999992,0.9949112944786483,1104.3601734767565
15,2027,3,18.62,10.475,28.049999999999983,5.585999999999999,3.1424999999999996,8.414999999999994,0.9945778858865403,1186.5886767368136
16,2027,4,19.97,11.475,28.52499999999999,5.990999999999998,3.4424999999999994,8.557499999999996,0.9942237214381854,1271.8982074347882
17,2027,5,21.08,12.475,31.0,6.324,3.7424999999999993,9.3,0.9939929749128343,1346.1123861260194
18,2027,6,22.32,13.95,31.52499999999999,6.695999999999999,4.184999999999999,9.457499999999998,0.9937102260562998,1438.514201355493
19,2027,7,23.49,14.475,33.04999999999998,7.046999999999997,4.342499999999999,9.914999999999997,0.99342298758608,1509.700969725548
20,2027,8,24.75,15.475,33.52499999999999,7.424999999999999,4.642499999999999,10.0575,0.9930924722862181,1597.9378981400357
21,2027,9,25.97,16.475,35.52499999999999,7.7909999999999995,4.942499999999999,10.6575,0.9927940732990929,1671.108314871049
22,2027,10,27.24,17.0,37.52499999999999,8.172,5.099999999999999,11.257500000000002,0.9924693271009671,1751.7805870329216
23,2027,11,28.35,18.475,38.0,8.504999999999999,5.542499999999999,11.400000000000006,0.9922244176846536,1813.6444049335928
24,2027,12,29.49,19.0,39.0,8.847000000000001,5.699999999999998,11.700000000000006,0.9919593015322523,1886.643962860623
25,2028,1,30.71,21.475,40.52499999999999,9.213000000000001,6.442499999999998,12.157500000000004,0.991700397228707,1961.5930495033724
26,2028,2,31.92,22.475,42.0,9.576000000000002,6.742499999999998,12.600000000000009,0.9914635166892607,2043.5313189593235
27,2028,3,33.15,24.475,43.0,9.945000000000002,7.342499999999998,12.90000000000001,0.9911686470171454,2123.2263663314116
28,2028,4,34.23,25.0,45.0,10.269000000000004,7.499999999999997,13.50000000000001,0.9909260988213607,2201.444417961383
29,2028,5,35.38,25.475,46.52499999999999,10.614,7.642499999999997,13.957500000000008,0.990686207450476,2269.236448031882
30,2028,6,36.51,27.0,48.0,10.953000000000007,8.099999999999998,14.400000000000013,0.9904544308493799,2348.738234041217
31,2028,7,37.89,28.0,49.52499999999999,11.367000000000003,8.399999999999999,14.85750000000001,0.990169198044978,2438.905472266383
32,2028,8,39.05,28.0,51.04999999999998,11.715000000000007,8.399999999999999,15.31500000000001,0.9899252607412481,2516.23234026024
33,2028,9,40.2,29.475,52.52499999999999,12.06000000000001,8.8425,15.757500000000013,0.9896662216574262,2586.490945939859
34,2028,10,41.39,30.475,53.52499999999999,12.417000000000009,9.1425,16.057500000000015,0.9893936735576283,2649.351321421719
35,2028,11,42.6,32.0,55.52499999999999,12.780000000000008,9.600000000000001,16.657500000000017,0.9891691914465335,2741.101547830703
36,2028,12,43.88,34.0,56.0,13.164000000000009,10.200000000000003,16.80000000000002,0.9889142287956725,2801.2951654467715
37,2029,1,44.99,35.0,57.0,13.497000000000009,10.500000000000004,17.10000000000002,0.9886738080501304,2874.5070069265585
38,2029,2,46.29,35.475,58.52499999999999,13.887000000000011,10.642500000000004,17.55750000000002,0.9884071004868216,2948.0164368691953
39,2029,3,47.55,35.475,61.0,14.265000000000011,10.642500000000004,18.300000000000022,0.988185630669299,3023.3179604504867
40,2029,4,48.64,36.0,61.52499999999999,14.592000000000011,10.800000000000004,18.45750000000002,0.9879920484783853,3094.2671724156853
41,2029,5,49.94,39.0,62.52499999999999,14.982000000000014,11.700000000000006,18.75750000000002,0.9877634959007713,3172.2554447296
42,2029,6,51.05,39.0,64.52499999999999,15.315000000000019,11.700000000000006,19.357500000000023,0.9875307481949263,3240.8968898073535
43,2029,7,52.22,40.0,66.0,15.666000000000018,12.000000000000007,19.800000000000026,0.9872972708159061,3307.9948676075355
44,2029,8,53.36,40.475,67.0,16.008000000000017,12.142500000000007,20.100000000000026,0.9871013655803103,3388.7912572077853
45,2029,9,54.68,41.475,68.0,16.404000000000018,12.442500000000008,20.400000000000027,0.9868707235865447,3471.1648302672397
46,2029,10,55.97,42.475,69.52499999999999,16.791000000000018,12.742500000000009,20.857500000000027,0.9866015726594705,3537.084087048976
47,2029,11,57.36,42.95,71.0,17.20800000000002,12.885000000000009,21.30000000000003,0.986333534561679,3639.063539654649
48,2029,12,58.53,44.425,71.52499999999999,17.55900000000002,13.327500000000011,21.457500000000028,0.9861482214527182,3724.123616221055
49,2030,1,59.82,45.9,72.04999999999998,17.946000000000023,13.770000000000012,21.615000000000023,0.9859552496565375,3805.3757359929705
50,2030,2,60.94,47.9,73.52499999999999,18.282000000000025,14.370000000000013,22.05750000000003,0.9857543423625869,3873.4104976778885
51,2030,3,62.05,47.9,75.04999999999998,18.615000000000023,14.370000000000013,22.515000000000025,0.9855796759734679,3947.767429333397
52,2030,4,63.25,49.9,76.0,18.975000000000023,14.970000000000015,22.800000000000033,0.9853923605183322,4032.3125063046937
53,2030,5,64.67,50.9,78.0,19.401000000000025,15.270000000000016,23.400000000000034,0.9851601532395086,4130.82356551521
54,2030,6,66.03,50.9,79.04999999999998,19.80900000000003,15.270000000000016,23.71500000000003,0.984925300151253,4257.3827959773935
55,2030,7,67.18,52.325,79.52499999999999,20.15400000000003,15.697500000000016,23.857500000000034,0.9847592906888526,4340.304848661084
56,2030,8,68.24,53.375,81.57499999999997,20.472000000000026,16.012500000000017,24.47250000000003,0.9845738935364894,4402.147376187178
57,2030,9,69.33,55.375,82.57499999999997,20.799000000000028,16.61250000000002,24.77250000000003,0.984402438186101,4481.859583428447
58,2030,10,70.69,56.425,84.04999999999998,21.207000000000026,16.92750000000002,25.215000000000032,0.9842205874424584,4572.432455647925
59,2030,11,71.93,57.425,86.52499999999999,21.579000000000033,17.22750000000002,25.95750000000004,0.9839871365155635,4640.906394845059
60,2030,12,73.33,59.0,87.52499999999999,21.999000000000027,17.70000000000002,26.25750000000004,0.9837487129277638,4742.416312090444
61,2031,1,74.66,60.425,90.0,22.398000000000028,18.127500000000023,27.000000000000043,0.9835304614758279,4837.964182599166
62,2031,2,75.91,60.425,91.0,22.77300000000004,18.127500000000023,27.300000000000043,0.9833384762699922,4925.2953127770625
63,2031,3,77.09,61.95,91.0,23.127000000000034,18.585000000000022,27.300000000000043,0.9831631529250613,5015.527890234444
64,2031,4,78.29,63.475,91.52499999999999,23.48700000000003,19.042500000000025,27.457500000000042,0.9829618280849879,5134.653931706443
65,2031,5,79.47,64.0,92.52499999999999,23.841000000000037,19.200000000000024,27.757500000000043,0.9827690594117096,5222.152842013953
66,2031,6,80.78,66.0,94.52499999999999,24.234000000000034,19.800000000000026,28.357500000000044,0.9825555183555811,5305.244745663385
67,2031,7,81.98,66.475,96.57499999999997,24.59400000000004,19.942500000000027,28.97250000000004,0.9823612247714348,5385.760683695579
68,2031,8,83.24,67.95,97.52499999999999,24.972000000000033,20.385000000000026,29.257500000000046,0.9822139024033621,5477.983262241889
