month,year,calendar_month,mean_total_built,p2_5_total_built,p97_5_total_built,mean_cumulative_gw,p2_5_cumulative_gw,p97_5_cumulative_gw,mean_gini,mean_firm_cost_m
1,2026,1,2.9,1.0,5.0,0.87,0.3,1.5,0.9990895443492966,94.84393241989069
2,2026,2,5.81,3.475,9.0,1.7429999999999999,1.0425,2.6999999999999997,0.9981734327095889,164.94342285415712
3,2026,3,8.76,5.0,12.0,2.6279999999999997,1.5,3.599999999999999,0.9972501545746074,252.59230890294714
4,2026,4,11.78,7.475,16.0,3.534,2.2425,4.799999999999999,0.9963280818892141,339.36331320176475
5,2026,5,14.72,10.0,19.0,4.415999999999999,2.9999999999999996,5.699999999999998,0.9954313343128159,421.1282279511013
6,2026,6,17.46,12.0,22.0,5.237999999999999,3.599999999999999,6.599999999999998,0.9945873704002827,500.99487578131857
7,2026,7,20.16,14.0,25.0,6.047999999999997,4.199999999999999,7.499999999999997,0.9937786472848233,583.0693444603934
8,2026,8,23.02,16.95,28.52499999999999,6.905999999999999,5.084999999999999,8.557499999999996,0.9929153938795489,669.2533021410595
9,2026,9,26.19,19.0,32.0,7.856999999999998,5.699999999999998,9.600000000000001,0.9919897552979569,769.3920443556402
10,2026,10,29.29,21.475,35.52499999999999,8.786999999999999,6.442499999999998,10.6575,0.9910924910174849,852.366514336705
11,2026,11,32.23,25.0,39.574999999999974,9.669,7.499999999999997,11.872499999999999,0.9902378297285103,958.4991721319051
12,2026,12,35.32,29.0,42.52499999999999,10.596000000000004,8.7,12.757500000000006,0.989378307831928,1039.8822651822404
13,2027,1,38.27,31.0,44.52499999999999,11.481000000000003,9.3,13.357500000000007,0.9885327625830649,1142.901403528958
14,2027,2,41.3,34.0,48.52499999999999,12.39000000000001,10.200000000000003,14.55750000000001,0.9877315128255898,1236.3770862921672
15,2027,3,44.28,36.475,52.52499999999999,13.284000000000008,10.942500000000004,15.757500000000013,0.9869291742163321,1325.7196764749629
16,2027,4,47.34,39.475,55.0,14.202000000000012,11.842500000000006,16.500000000000018,0.9860771199823576,1413.2854199213732
17,2027,5,50.26,42.475,58.574999999999974,15.078000000000015,12.742500000000009,17.572500000000012,0.9852509077839414,1491.6067009864842
